항목,,,,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,"16,134",, , 
  당기순이익(지배)＜당기＞,,,,,"3,752.0",, , 
  보통주수정평균발행주식수＜당기＞,,,,,"23,254,943","141,467,571", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"117,868",, , 
  자본총계(지배)＜당기＞,,,,,"166,603.6",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"141,347,745","141,362,545", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,"4,445",, , 
  영업활동현금흐름＜당기＞,,,,,"1,033.8",, , 
  보통주수정평균발행주식수＜당기＞,,,,,"23,254,943","141,467,571", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,"49,298",, , 
  매출액＜당기＞,,,,,"11,464.1",, , 
  보통주수정평균발행주식수＜당기＞,,,,,"23,254,943","141,467,571", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,4.12,, , 
  보통주수정주가(기말)＜당기＞,,,,,"66,400","44,400", , 
  EPS＜당기＞,,,,,"16,134",, , 
펼치기 PBR,,,,,0.56,, , 
  보통주수정주가(기말)＜당기＞,,,,,"66,400","44,400", , 
  BPS＜당기＞,,,,,"117,868",, , 
펼치기 PCR,,,,,14.94,, , 
  보통주수정주가(기말)＜당기＞,,,,,"66,400","44,400", , 
  CPS＜당기＞,,,,,"4,445",, , 
펼치기 PSR,,,,,1.35,, , 
  보통주수정주가(기말)＜당기＞,,,,,"66,400","44,400", , 
  SPS＜당기＞,,,,,"49,298",, , 
펼치기 EV/EBITDA,,,,,20.89,, , 
  EV＜당기＞,,,,,"100,932.0",, , 
  EBITDA＜당기＞,,,,,"4,830.9",, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
