항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"7,171","5,428","10,189","11,312","19,049",,68, 
  당기순이익(지배)＜당기＞,124.7,94.4,177.3,196.8,331.4,, , 
  보통주수정평균발행주식수＜당기＞,"1,739,672","1,739,672","1,739,672","1,739,672","1,739,672","1,739,672", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"149,413","151,975","168,403","183,166","199,594",,9, 
  자본총계(지배)＜당기＞,"2,479.3","2,409.9","2,579.5","2,771.3","3,019.8",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"1,659,334","1,585,707","1,531,732","1,512,979","1,512,979","1,512,979", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-2,564","6,947","3,722","21,937","8,758",,-60, 
  영업활동현금흐름＜당기＞,-44.6,120.9,64.8,381.6,152.4,, , 
  보통주수정평균발행주식수＜당기＞,"1,739,672","1,739,672","1,739,672","1,739,672","1,739,672","1,739,672", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"180,010","181,816","186,085","159,558","233,546",,46, 
  매출액＜당기＞,"3,131.6","3,163.0","3,237.3","2,775.8","4,062.9",, , 
  보통주수정평균발행주식수＜당기＞,"1,739,672","1,739,672","1,739,672","1,739,672","1,739,672","1,739,672", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,11.97,14.09,7.79,5.68,4.15,,-27.04, 
  보통주수정주가(기말)＜당기＞,"85,800","76,500","79,400","64,300","79,000","80,400", , 
  EPS＜당기＞,"7,171","5,428","10,189","11,312","19,049",, , 
펼치기 PBR,0.57,0.50,0.47,0.35,0.40,,12.75, 
  보통주수정주가(기말)＜당기＞,"85,800","76,500","79,400","64,300","79,000","80,400", , 
  BPS＜당기＞,"149,413","151,975","168,403","183,166","199,594",, , 
펼치기 PCR,-33.47,11.01,21.33,2.93,9.02,,207.75, 
  보통주수정주가(기말)＜당기＞,"85,800","76,500","79,400","64,300","79,000","80,400", , 
  CPS＜당기＞,"-2,564","6,947","3,722","21,937","8,758",, , 
펼치기 PSR,0.48,0.42,0.43,0.40,0.34,,-16.06, 
  보통주수정주가(기말)＜당기＞,"85,800","76,500","79,400","64,300","79,000","80,400", , 
  SPS＜당기＞,"180,010","181,816","186,085","159,558","233,546",, , 
펼치기 EV/EBITDA,2.41,2.73,3.11,0.37,0.59,,61.04, 
  EV＜당기＞,386.0,414.1,640.9,79.3,227.4,, , 
  EBITDA＜당기＞,160.3,151.7,205.9,216.9,386.4,, , 
펼치기 DPS,"1,700","1,600","2,000","2,100","2,500",,19, 
  현금DPS,"1,700","1,600","2,000","2,100","2,500",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.98,2.09,2.52,3.27,3.16,,-0.10, 
  현금배당성향(%),22.61,26.87,17.28,16.15,11.41,,-4.73, 
