항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"4,947","6,930","7,542","6,726","15,667",,133, 
  당기순이익(지배)＜당기＞,172.0,359.7,395.7,346.7,799.0,, , 
  보통주수정평균발행주식수＜당기＞,"3,476,390","5,191,218","5,246,052","5,153,670","5,100,000","5,100,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"35,770","42,201","47,872","51,701","65,109",,26, 
  자본총계(지배)＜당기＞,"1,852.6","2,203.4","2,493.1","2,610.9","3,265.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,179,111","5,221,276","5,207,891","5,050,000","5,015,000","5,015,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"9,483","4,150","13,130","13,657","6,362",,-53, 
  영업활동현금흐름＜당기＞,329.7,215.4,688.8,703.8,324.4,, , 
  보통주수정평균발행주식수＜당기＞,"3,476,390","5,191,218","5,246,052","5,153,670","5,100,000","5,100,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"59,929","69,432","72,026","72,180","104,185",,44, 
  매출액＜당기＞,"2,083.4","3,604.3","3,778.5","3,719.9","5,313.4",, , 
  보통주수정평균발행주식수＜당기＞,"3,476,390","5,191,218","5,246,052","5,153,670","5,100,000","5,100,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,11.81,9.32,9.57,15.54,13.95,,-10.23, 
  보통주수정주가(기말)＜당기＞,"58,400","64,600","72,200","104,500","218,500","205,500", , 
  EPS＜당기＞,"4,947","6,930","7,542","6,726","15,667",, , 
펼치기 PBR,1.63,1.53,1.51,2.02,3.36,,66.03, 
  보통주수정주가(기말)＜당기＞,"58,400","64,600","72,200","104,500","218,500","205,500", , 
  BPS＜당기＞,"35,770","42,201","47,872","51,701","65,109",, , 
펼치기 PCR,6.16,15.57,5.50,7.65,34.35,,348.86, 
  보통주수정주가(기말)＜당기＞,"58,400","64,600","72,200","104,500","218,500","205,500", , 
  CPS＜당기＞,"9,483","4,150","13,130","13,657","6,362",, , 
펼치기 PSR,0.97,0.93,1.00,1.45,2.10,,44.86, 
  보통주수정주가(기말)＜당기＞,"58,400","64,600","72,200","104,500","218,500","205,500", , 
  SPS＜당기＞,"59,929","69,432","72,026","72,180","104,185",, , 
펼치기 EV/EBITDA,9.78,6.12,5.44,7.09,9.67,,36.25, 
  EV＜당기＞,"2,874.9","3,322.6","3,396.3","4,662.0","10,804.8",, , 
  EBITDA＜당기＞,294.0,542.8,624.4,657.2,"1,117.8",, , 
펼치기 DPS,500,"1,200","1,700","1,700","2,100",,24, 
  현금DPS,500,"1,200","1,700","1,700","2,100",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.86,1.86,2.35,1.63,0.96,,-0.67, 
  현금배당성향(%),15.06,17.42,22.63,24.84,13.20,,-11.64, 
