항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-376,-214,73,87,159,,81, 
  당기순이익(지배)＜당기＞,-219.6,-126.8,43.5,52.4,95.1,, , 
  보통주수정평균발행주식수＜당기＞,"58,405,106","59,379,141","59,958,950","59,958,950","59,958,950",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,927,792,859,953,"1,090",,14, 
  자본총계(지배)＜당기＞,541.3,474.9,515.2,571.1,653.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"58,395,160","59,946,000","59,946,000","59,946,000","59,946,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-36,57,-1,150,-87,,-158, 
  영업활동현금흐름＜당기＞,-21.1,34.0,-0.8,89.8,-52.2,, , 
  보통주수정평균발행주식수＜당기＞,"58,405,106","59,379,141","59,958,950","59,958,950","59,958,950",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,431,477,542,630,849,,35, 
  매출액＜당기＞,252.0,283.5,324.8,377.5,508.9,, , 
  보통주수정평균발행주식수＜당기＞,"58,405,106","59,379,141","59,958,950","59,958,950","59,958,950",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,117.10,197.89,82.25,,-58.44, 
  보통주수정주가(기말)＜당기＞,"5,700","12,200","8,490","17,300","13,050","13,050", , 
  EPS＜당기＞,-376,-214,73,87,159,, , 
펼치기 PBR,6.15,15.40,9.88,18.16,11.97,,-34.09, 
  보통주수정주가(기말)＜당기＞,"5,700","12,200","8,490","17,300","13,050","13,050", , 
  BPS＜당기＞,927,792,859,953,"1,090",, , 
펼치기 PCR,-158.07,212.75,"-6,742.50",115.54,-149.83,,-229.69, 
  보통주수정주가(기말)＜당기＞,"5,700","12,200","8,490","17,300","13,050","13,050", , 
  CPS＜당기＞,-36,57,-1,150,-87,, , 
펼치기 PSR,13.21,25.55,15.67,27.48,15.37,,-44.04, 
  보통주수정주가(기말)＜당기＞,"5,700","12,200","8,490","17,300","13,050","13,050", , 
  SPS＜당기＞,431,477,542,630,849,, , 
펼치기 EV/EBITDA,-259.83,379.07,131.37,112.68,81.69,,-27.51, 
  EV＜당기＞,"3,201.7","7,138.9","4,933.3","10,144.1","7,634.7",, , 
  EBITDA＜당기＞,-12.3,18.8,37.6,90.0,93.5,, , 
펼치기 DPS,0,,,,,, , 
  현금DPS,0,,,,,, , 
  주식DPS,0,,,,,, , 
  현금배당수익률,0.00,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
