항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,277",312,714,744,"1,708","1,041", ,-39
  당기순이익(지배)＜당기＞,"1,900.1",504.1,"1,152.3","1,200.6","2,756.2","1,680.0", , 
  보통주수정평균발행주식수＜당기＞,"148,833,033","161,358,585","161,358,585","161,358,585","161,358,585",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"15,503","14,543","16,690","19,697","19,530","19,992", ,2
  자본총계(지배)＜당기＞,"24,162.6","22,665.7","26,012.2","30,699.0","30,439.4","31,160.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"155,858,585","155,858,585","155,858,585","155,858,585","155,858,585",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"20,053","10,345","2,109","3,773","6,291",, , 
  영업활동현금흐름＜당기＞,"29,845.4","16,692.4","3,403.4","6,087.5","10,150.9",, , 
  보통주수정평균발행주식수＜당기＞,"148,833,033","161,358,585","161,358,585","161,358,585","161,358,585",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"47,971","35,864","38,759","43,066","39,338",, , 
  매출액＜당기＞,"71,397.1","57,869.2","62,540.3","69,490.1","63,475.7",, , 
  보통주수정평균발행주식수＜당기＞,"148,833,033","161,358,585","161,358,585","161,358,585","161,358,585",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,5.95,15.27,5.60,4.73,3.86,5.89, ,52.38
  보통주수정주가(기말)＜당기＞,"7,600","4,770","4,000","3,520","6,600","6,130", , 
  EPS＜당기＞,"1,277",312,714,744,"1,708","1,041", , 
펼치기 PBR,0.49,0.33,0.24,0.18,0.34,0.31, ,-9.27
  보통주수정주가(기말)＜당기＞,"7,600","4,770","4,000","3,520","6,600","6,130", , 
  BPS＜당기＞,"15,503","14,543","16,690","19,697","19,530","19,992", , 
펼치기 PCR,0.38,0.46,1.90,0.93,1.05,, , 
  보통주수정주가(기말)＜당기＞,"7,600","4,770","4,000","3,520","6,600","6,130", , 
  CPS＜당기＞,"20,053","10,345","2,109","3,773","6,291",, , 
펼치기 PSR,0.16,0.13,0.10,0.08,0.17,, , 
  보통주수정주가(기말)＜당기＞,"7,600","4,770","4,000","3,520","6,600","6,130", , 
  SPS＜당기＞,"47,971","35,864","38,759","43,066","39,338",, , 
펼치기 EV/EBITDA,-0.78,-7.59,-1.93,2.39,1.19,, , 
  EV＜당기＞,"-2,018.4","-5,899.0","-2,631.2","4,492.8","4,223.6",, , 
  EBITDA＜당기＞,"2,585.4",776.8,"1,365.7","1,882.5","3,538.6",, , 
펼치기 DPS,360,100,230,220,620,, , 
  현금DPS,360,100,230,220,620,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,4.74,2.10,5.75,6.25,9.39,6.62, ,-2.77
  현금배당성향(%),29.53,30.92,31.11,28.56,35.06,39.00, ,3.93
