항목,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/06
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-100,-12,49,, , 
  당기순이익(지배)＜당기＞,,,-5.4,-3.5,16.5,, , 
  보통주수정평균발행주식수＜당기＞,,,"5,392,912",,"31,343,143","55,955,884", , 
  우선주수정평균발행주식수＜당기＞,,,0,,0,0, , 
펼치기 BPS,,,"4,837","4,825","4,857",, , 
  자본총계(지배)＜당기＞,,,"1,401.8","1,398.3","2,717.8",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"28,977,942","28,977,942","55,955,884","55,955,884", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,"-3,422",767,-130,, , 
  영업활동현금흐름＜당기＞,,,-184.6,222.2,-43.9,, , 
  보통주수정평균발행주식수＜당기＞,,,"5,392,912",,"31,343,143","55,955,884", , 
  우선주수정평균발행주식수＜당기＞,,,0,,0,0, , 
펼치기 SPS,,,344,331,314,, , 
  매출액＜당기＞,,,18.5,95.9,105.8,, , 
  보통주수정평균발행주식수＜당기＞,,,"5,392,912",,"31,343,143","55,955,884", , 
  우선주수정평균발행주식수＜당기＞,,,0,,0,0, , 
펼치기 PER,,,,,101.81,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,000","5,410", , 
  EPS＜당기＞,,,-100,-12,49,, , 
펼치기 PBR,,,0.00,0.00,1.03,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,000","5,410", , 
  BPS＜당기＞,,,"4,837","4,825","4,857",, , 
펼치기 PCR,,,,,-38.38,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,000","5,410", , 
  CPS＜당기＞,,,"-3,422",767,-130,, , 
펼치기 PSR,,,,,15.91,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,000","5,410", , 
  SPS＜당기＞,,,344,331,314,, , 
펼치기 EV/EBITDA,,,,,55.11,, , 
  EV＜당기＞,,,,,"5,119.4",, , 
  EBITDA＜당기＞,,,14.5,70.5,92.9,, , 
펼치기 DPS,,,0,0,89,, , 
  현금DPS,,,0,0,89,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,,,1.78,, , 
  현금배당성향(%),,,0.00,0.00,301.19,, , 
