항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,466,480,-77,401,604,961,51,59
  당기순이익(지배)＜당기＞,82.2,104.5,-18.0,117.4,180.0,289.0, , 
  보통주수정평균발행주식수＜당기＞,"17,662,863","21,746,361","23,358,516","29,247,965","29,790,622","30,086,889", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,536","3,958","5,167","6,047","6,831","7,880",13,15
  자본총계(지배)＜당기＞,741.3,882.9,"1,510.6","1,768.0","2,054.5","2,370.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"20,960,576","22,304,902","29,236,205","29,236,205","30,075,129","30,075,129", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-71,447,1,-64,874,"1,728","1,461",98
  영업활동현금흐름＜당기＞,-12.5,97.2,0.3,-18.8,260.4,650.0, , 
  보통주수정평균발행주식수＜당기＞,"17,662,863","21,746,361","23,358,516","29,247,965","29,790,622","30,086,889", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"17,812","24,556","10,442","6,983","10,268","14,581",47,42
  매출액＜당기＞,"3,146.0","5,340.1","2,439.0","2,042.5","3,058.9","4,387.0", , 
  보통주수정평균발행주식수＜당기＞,"17,662,863","21,746,361","23,358,516","29,247,965","29,790,622","30,086,889", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,30.03,32.68,N/A,48.97,76.39,51.53,55.99,-32.54
  보통주수정주가(기말)＜당기＞,"13,980","15,699","8,900","19,650","46,150","49,500", , 
  EPS＜당기＞,466,480,-77,401,604,961, , 
펼치기 PBR,3.95,3.97,1.72,3.25,6.76,6.28,107.91,-7.02
  보통주수정주가(기말)＜당기＞,"13,980","15,699","8,900","19,650","46,150","49,500", , 
  BPS＜당기＞,"3,536","3,958","5,167","6,047","6,831","7,880", , 
펼치기 PCR,-198.03,35.11,"7,124.02",-305.88,52.79,28.64,117.26,-45.75
  보통주수정주가(기말)＜당기＞,"13,980","15,699","8,900","19,650","46,150","49,500", , 
  CPS＜당기＞,-71,447,1,-64,874,"1,728", , 
펼치기 PSR,0.78,0.64,0.85,2.81,4.49,3.39,59.73,-24.47
  보통주수정주가(기말)＜당기＞,"13,980","15,699","8,900","19,650","46,150","49,500", , 
  SPS＜당기＞,"17,812","24,556","10,442","6,983","10,268","14,581", , 
펼치기 EV/EBITDA,19.74,17.80,38.75,27.12,41.74,,53.88, 
  EV＜당기＞,"3,206.4","4,200.2","2,835.3","6,361.3","14,539.6",, , 
  EBITDA＜당기＞,162.5,236.0,73.2,234.5,348.3,577.5, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
