항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,397,"1,624","4,925","2,753","3,248",,18, 
  당기순이익(지배)＜당기＞,16.2,58.6,178.4,99.5,117.3,, , 
  보통주수정평균발행주식수＜당기＞,"4,079,698","3,606,543","3,621,788","3,613,221","3,610,000","3,610,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"14,538","16,983","20,576","13,650","12,909",,-5, 
  자본총계(지배)＜당기＞,511.8,615.1,745.2,490.2,462.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,520,348","3,621,788","3,621,788","3,591,109","3,583,500","3,585,100", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,151","4,537",768,"5,566","3,475",,-38, 
  영업활동현금흐름＜당기＞,87.7,163.6,27.8,201.1,125.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,079,698","3,606,543","3,621,788","3,613,221","3,610,000","3,610,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"33,688","38,615","34,805","34,575","44,403",,28, 
  매출액＜당기＞,"1,374.4","1,392.7","1,260.6","1,249.3","1,603.0",, , 
  보통주수정평균발행주식수＜당기＞,"4,079,698","3,606,543","3,621,788","3,613,221","3,610,000","3,610,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,53.49,13.66,5.05,17.91,19.58,,9.34, 
  보통주수정주가(기말)＜당기＞,"21,236","22,185","24,850","49,300","63,600","58,200", , 
  EPS＜당기＞,397,"1,624","4,925","2,753","3,248",, , 
펼치기 PBR,1.46,1.31,1.21,3.61,4.93,,36.41, 
  보통주수정주가(기말)＜당기＞,"21,236","22,185","24,850","49,300","63,600","58,200", , 
  BPS＜당기＞,"14,538","16,983","20,576","13,650","12,909",, , 
펼치기 PCR,9.87,4.89,32.37,8.86,18.30,,106.63, 
  보통주수정주가(기말)＜당기＞,"21,236","22,185","24,850","49,300","63,600","58,200", , 
  CPS＜당기＞,"2,151","4,537",768,"5,566","3,475",, , 
펼치기 PSR,0.63,0.57,0.71,1.43,1.43,,0.45, 
  보통주수정주가(기말)＜당기＞,"21,236","22,185","24,850","49,300","63,600","58,200", , 
  SPS＜당기＞,"33,688","38,615","34,805","34,575","44,403",, , 
펼치기 EV/EBITDA,8.63,7.44,6.01,10.16,12.94,,27.39, 
  EV＜당기＞,"1,041.1",970.5,927.2,"1,912.1","2,474.3",, , 
  EBITDA＜당기＞,120.6,130.4,154.3,188.3,191.2,, , 
펼치기 DPS,73,"1,240",200,"9,900",,, , 
  현금DPS,73,"1,240",200,"9,900",,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.34,5.59,0.80,20.08,,, , 
  현금배당성향(%),15.19,76.64,4.06,358.24,,, , 
