항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"6,204","3,372","6,166","6,264","5,161",,-18, 
  당기순이익(지배)＜당기＞,135.8,73.7,135.1,137.8,113.5,, , 
  보통주수정평균발행주식수＜당기＞,"2,188,659","2,185,504","2,190,391","2,199,268","2,199,268",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"41,557","44,699","50,578","55,419","58,718",,6, 
  자본총계(지배)＜당기＞,833.3,898.4,"1,021.3","1,129.0","1,199.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,005,180","2,009,904","2,019,268","2,037,310","2,042,910","2,042,910", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"6,599","6,085","9,735","9,414","4,265",,-55, 
  영업활동현금흐름＜당기＞,144.4,133.0,213.2,207.0,93.8,, , 
  보통주수정평균발행주식수＜당기＞,"2,188,659","2,185,504","2,190,391","2,199,268","2,199,268",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"69,021","67,026","70,638","72,858","89,789",,23, 
  매출액＜당기＞,"1,510.6","1,464.9","1,547.2","1,602.3","1,974.7",, , 
  보통주수정평균발행주식수＜당기＞,"2,188,659","2,185,504","2,190,391","2,199,268","2,199,268",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,9.48,12.81,7.23,9.88,15.73,,59.23, 
  보통주수정주가(기말)＜당기＞,"58,800","43,200","44,600","61,900","81,200","69,800", , 
  EPS＜당기＞,"6,204","3,372","6,166","6,264","5,161",, , 
펼치기 PBR,1.41,0.97,0.88,1.12,1.38,,23.81, 
  보통주수정주가(기말)＜당기＞,"58,800","43,200","44,600","61,900","81,200","69,800", , 
  BPS＜당기＞,"41,557","44,699","50,578","55,419","58,718",, , 
펼치기 PCR,8.91,7.10,4.58,6.58,19.04,,189.54, 
  보통주수정주가(기말)＜당기＞,"58,800","43,200","44,600","61,900","81,200","69,800", , 
  CPS＜당기＞,"6,599","6,085","9,735","9,414","4,265",, , 
펼치기 PSR,0.85,0.64,0.63,0.85,0.90,,6.44, 
  보통주수정주가(기말)＜당기＞,"58,800","43,200","44,600","61,900","81,200","69,800", , 
  SPS＜당기＞,"69,021","67,026","70,638","72,858","89,789",, , 
펼치기 EV/EBITDA,6.66,6.06,4.30,4.94,7.07,,43.20, 
  EV＜당기＞,"1,222.0",859.5,939.6,"1,296.7","1,728.4",, , 
  EBITDA＜당기＞,183.5,141.9,218.3,262.6,244.4,, , 
펼치기 DPS,"1,000","1,000","1,000","2,500","2,500",,0, 
  현금DPS,"1,000","1,000","1,000","2,500","2,500",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.70,2.31,2.24,4.04,3.08,,-0.96, 
  현금배당성향(%),14.77,27.27,14.95,36.84,44.95,,8.11, 
