항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"2,879",754,899,"3,516","1,804",,-49, 
  당기순이익(지배)＜당기＞,533.7,179.2,213.7,836.1,429.0,, , 
  보통주수정평균발행주식수＜당기＞,"18,540,204","23,779,604","23,779,604","23,779,604","23,779,604",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"13,569","13,312","13,439","15,558","17,371",,12, 
  자본총계(지배)＜당기＞,"3,226.5","3,165.4","3,195.7","3,699.6","4,130.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"23,779,208","23,779,208","23,779,208","23,779,208","23,779,208",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"3,484","-1,099",662,"4,767","3,069",,-36, 
  영업활동현금흐름＜당기＞,645.9,-261.4,157.5,"1,133.6",729.8,, , 
  보통주수정평균발행주식수＜당기＞,"18,540,204","23,779,604","23,779,604","23,779,604","23,779,604",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"44,051","38,369","42,644","56,691","72,261",,27, 
  매출액＜당기＞,"8,167.1","9,124.1","10,140.5","13,480.9","17,183.5",, , 
  보통주수정평균발행주식수＜당기＞,"18,540,204","23,779,604","23,779,604","23,779,604","23,779,604",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,5.35,15.06,10.45,3.21,6.38,,98.36, 
  보통주수정주가(기말)＜당기＞,"15,400","11,350","9,390","11,300","11,500","12,350", , 
  EPS＜당기＞,"2,879",754,899,"3,516","1,804",, , 
펼치기 PBR,1.13,0.85,0.70,0.73,0.66,,-8.85, 
  보통주수정주가(기말)＜당기＞,"15,400","11,350","9,390","11,300","11,500","12,350", , 
  BPS＜당기＞,"13,569","13,312","13,439","15,558","17,371",, , 
펼치기 PCR,4.42,-10.33,14.18,2.37,3.75,,58.09, 
  보통주수정주가(기말)＜당기＞,"15,400","11,350","9,390","11,300","11,500","12,350", , 
  CPS＜당기＞,"3,484","-1,099",662,"4,767","3,069",, , 
펼치기 PSR,0.35,0.30,0.22,0.20,0.16,,-20.16, 
  보통주수정주가(기말)＜당기＞,"15,400","11,350","9,390","11,300","11,500","12,350", , 
  SPS＜당기＞,"44,051","38,369","42,644","56,691","72,261",, , 
펼치기 EV/EBITDA,8.37,12.62,10.17,5.16,5.94,,15.16, 
  EV＜당기＞,"5,837.0","6,514.3","6,817.7","7,294.3","7,381.0",, , 
  EBITDA＜당기＞,697.3,516.3,670.4,"1,414.9","1,243.3",, , 
펼치기 DPS,0,50,50,100,100,,0, 
  현금DPS,0,50,50,100,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.44,0.53,0.88,0.87,,-0.02, 
  현금배당성향(%),0.00,6.63,5.56,2.84,5.54,,2.70, 
