항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"3,312","2,053","2,181","2,956","1,685",,-43, 
  당기순이익(지배)＜당기＞,220.2,136.5,145.0,196.5,112.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,649,138","6,649,138","6,649,138","6,649,138","6,649,138","6,649,138", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"62,747","66,088","77,404","88,625","106,105",,20, 
  자본총계(지배)＜당기＞,"2,256.6","2,372.9","2,750.1","3,148.8","3,769.8",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,596,307","3,590,548","3,552,923","3,552,923","3,552,923",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"4,887","2,891","4,384","3,200","-2,784",,-187, 
  영업활동현금흐름＜당기＞,325.0,192.2,291.5,212.8,-185.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,649,138","6,649,138","6,649,138","6,649,138","6,649,138","6,649,138", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"26,213","19,201","16,279","14,636","15,679",,7, 
  매출액＜당기＞,"1,742.9","1,276.7","1,082.4",973.2,"1,042.5",, , 
  보통주수정평균발행주식수＜당기＞,"6,649,138","6,649,138","6,649,138","6,649,138","6,649,138","6,649,138", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,12.35,16.78,17.88,20.06,32.40,,61.51, 
  보통주수정주가(기말)＜당기＞,"40,900","34,450","39,000","59,300","54,600","47,050", , 
  EPS＜당기＞,"3,312","2,053","2,181","2,956","1,685",, , 
펼치기 PBR,0.65,0.52,0.50,0.67,0.51,,-23.09, 
  보통주수정주가(기말)＜당기＞,"40,900","34,450","39,000","59,300","54,600","47,050", , 
  BPS＜당기＞,"62,747","66,088","77,404","88,625","106,105",, , 
펼치기 PCR,8.37,11.92,8.90,18.53,-19.61,,-205.86, 
  보통주수정주가(기말)＜당기＞,"40,900","34,450","39,000","59,300","54,600","47,050", , 
  CPS＜당기＞,"4,887","2,891","4,384","3,200","-2,784",, , 
펼치기 PSR,1.56,1.79,2.40,4.05,3.48,,-14.05, 
  보통주수정주가(기말)＜당기＞,"40,900","34,450","39,000","59,300","54,600","47,050", , 
  SPS＜당기＞,"26,213","19,201","16,279","14,636","15,679",, , 
펼치기 EV/EBITDA,9.13,11.38,11.86,18.60,28.01,,50.57, 
  EV＜당기＞,"2,563.7","2,114.3","2,267.1","3,369.8","3,788.2",, , 
  EBITDA＜당기＞,280.9,185.8,191.2,181.1,135.2,, , 
펼치기 DPS,0,0,0,300,300,,0, 
  현금DPS,0,0,0,300,300,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.51,0.55,,0.04, 
  현금배당성향(%),0.00,0.00,0.00,5.42,9.51,,4.09, 
