항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"3,503","4,385","3,462","2,839","2,825","4,623",-1,64
  당기순이익(지배)＜당기＞,"1,051.0","1,315.6","1,038.7",851.8,847.4,"1,387.0", , 
  보통주수정평균발행주식수＜당기＞,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"39,070","44,144","46,397","48,133","50,525","54,316",5,8
  자본총계(지배)＜당기＞,"11,457.2","12,945.1","13,605.9","14,115.0","14,816.3","15,945.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"29,325,028","29,325,027","29,325,026","29,325,026","29,325,026","29,356,046", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"4,820","6,822","7,203","9,630","3,385","7,759",-65,129
  영업활동현금흐름＜당기＞,"1,446.0","2,046.6","2,160.8","2,889.0","1,015.4","2,029.0", , 
  보통주수정평균발행주식수＜당기＞,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"78,125","82,833","78,228","80,089","88,942","100,969",11,14
  매출액＜당기＞,"23,437.5","24,849.8","23,468.5","24,026.7","26,682.6","30,290.8", , 
  보통주수정평균발행주식수＜당기＞,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,18.58,11.17,15.77,22.22,19.76,10.71,-11.11,-45.80
  보통주수정주가(기말)＜당기＞,"65,100","49,000","54,600","63,100","55,800","49,500", , 
  EPS＜당기＞,"3,503","4,385","3,462","2,839","2,825","4,623", , 
펼치기 PBR,1.67,1.11,1.18,1.31,1.10,0.91,-15.75,-17.48
  보통주수정주가(기말)＜당기＞,"65,100","49,000","54,600","63,100","55,800","49,500", , 
  BPS＜당기＞,"39,070","44,144","46,397","48,133","50,525","54,316", , 
펼치기 PCR,13.51,7.18,7.58,6.55,16.49,6.38,151.59,-61.30
  보통주수정주가(기말)＜당기＞,"65,100","49,000","54,600","63,100","55,800","49,500", , 
  CPS＜당기＞,"4,820","6,822","7,203","9,630","3,385","7,759", , 
펼치기 PSR,0.83,0.59,0.70,0.79,0.63,0.49,-20.37,-21.86
  보통주수정주가(기말)＜당기＞,"65,100","49,000","54,600","63,100","55,800","49,500", , 
  SPS＜당기＞,"78,125","82,833","78,228","80,089","88,942","100,969", , 
펼치기 EV/EBITDA,8.95,5.54,6.48,7.94,6.56,4.82,-17.44,-26.44
  EV＜당기＞,"22,048.1","16,113.8","17,085.9","18,305.4","16,827.6","13,971.7", , 
  EBITDA＜당기＞,"2,463.0","2,910.6","2,634.8","2,304.5","2,565.9","2,896.3", , 
펼치기 DPS,"1,100","1,200","1,200","1,100","1,000",,-9, 
  현금DPS,"1,100","1,200","1,200","1,100","1,000",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.69,2.45,2.20,1.74,1.79,2.68,0.05,0.88
  현금배당성향(%),30.69,26.75,33.88,37.87,34.61,28.66,-3.26,-5.95
