항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-44,39,17,"6,597","10,864","8,653",65,-20
  당기순이익(지배)＜당기＞,-33.0,30.3,14.0,"6,156.4","10,647.8","8,935.7", , 
  보통주수정평균발행주식수＜당기＞,"75,236,011","77,927,068","82,589,684","93,318,523","98,008,217","103,271,353", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,994,"1,031","1,411","8,016","21,658","30,230",170,40
  자본총계(지배)＜당기＞,774.4,803.8,"1,316.3","7,480.2","21,905.4","30,575.3", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"77,927,067","77,927,067","93,318,574","93,317,753","101,141,466","101,141,466", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-134,-12,-21,"5,309","12,600","9,113",137,-28
  영업활동현금흐름＜당기＞,-100.7,-9.6,-17.4,"4,953.8","12,349.5","9,710.7", , 
  보통주수정평균발행주식수＜당기＞,"75,236,011","77,927,068","82,589,684","93,318,523","98,008,217","103,271,353", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,721,842,893,"18,069","29,895","26,034",65,-13
  매출액＜당기＞,542.6,656.3,737.3,"16,861.6","29,299.6","26,885.7", , 
  보통주수정평균발행주식수＜당기＞,"75,236,011","77,927,068","82,589,684","93,318,523","98,008,217","103,271,353", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,5.15,5.49, ,6.69
  보통주수정주가(기말)＜당기＞,,,,,"55,900","47,500", , 
  EPS＜당기＞,-44,39,17,"6,597","10,864","8,653", , 
펼치기 PBR,0.00,0.00,0.00,0.00,2.58,1.57, ,-39.12
  보통주수정주가(기말)＜당기＞,,,,,"55,900","47,500", , 
  BPS＜당기＞,994,"1,031","1,411","8,016","21,658","30,230", , 
펼치기 PCR,,,,,4.44,5.21, ,17.49
  보통주수정주가(기말)＜당기＞,,,,,"55,900","47,500", , 
  CPS＜당기＞,-134,-12,-21,"5,309","12,600","9,113", , 
펼치기 PSR,,,,,1.87,1.82, ,-2.42
  보통주수정주가(기말)＜당기＞,,,,,"55,900","47,500", , 
  SPS＜당기＞,721,842,893,"18,069","29,895","26,034", , 
펼치기 EV/EBITDA,,,,,2.94,1.89, ,-35.75
  EV＜당기＞,,,,,"40,730.4","22,574.9", , 
  EBITDA＜당기＞,25.3,74.4,54.1,"7,462.4","13,831.6","11,931.8", , 
펼치기 DPS,0,0,0,535,"1,266",,137, 
  현금DPS,0,0,0,535,"1,266",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,2.26,1.20, ,-1.06
  현금배당성향(%),0.00,0.00,0.00,8.11,12.03,6.61,3.92,-5.41
