항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,541,168,323,504,436,, , 
  당기순이익(지배)＜당기＞,268.5,84.1,160.4,250.4,216.6,, , 
  보통주수정평균발행주식수＜당기＞,"49,678,843","49,678,843","49,678,843","49,678,843","49,678,843","49,678,843", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"8,784","8,857","9,051","9,446","9,748",, , 
  자본총계(지배)＜당기＞,"4,212.0","4,246.9","4,339.6","4,529.2","4,674.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"47,948,695","47,948,695","47,948,695","47,948,695","47,948,695",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,618,161,911,"1,057","-2,377",, , 
  영업활동현금흐름＜당기＞,307.2,79.9,452.6,525.0,"-1,180.7",, , 
  보통주수정평균발행주식수＜당기＞,"49,678,843","49,678,843","49,678,843","49,678,843","49,678,843","49,678,843", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"22,592","25,015","23,898","20,327","29,225",, , 
  매출액＜당기＞,"11,223.7","12,427.4","11,872.0","10,098.5","14,518.8",, , 
  보통주수정평균발행주식수＜당기＞,"49,678,843","49,678,843","49,678,843","49,678,843","49,678,843","49,678,843", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,19.80,68.42,25.27,16.29,24.08,, , 
  보통주수정주가(기말)＜당기＞,"10,700","11,500","8,160","8,210","10,500","13,150", , 
  EPS＜당기＞,541,168,323,504,436,, , 
펼치기 PBR,1.22,1.30,0.90,0.87,1.08,, , 
  보통주수정주가(기말)＜당기＞,"10,700","11,500","8,160","8,210","10,500","13,150", , 
  BPS＜당기＞,"8,784","8,857","9,051","9,446","9,748",, , 
펼치기 PCR,17.30,71.51,8.96,7.77,-4.42,, , 
  보통주수정주가(기말)＜당기＞,"10,700","11,500","8,160","8,210","10,500","13,150", , 
  CPS＜당기＞,618,161,911,"1,057","-2,377",, , 
펼치기 PSR,0.47,0.46,0.34,0.40,0.36,, , 
  보통주수정주가(기말)＜당기＞,"10,700","11,500","8,160","8,210","10,500","13,150", , 
  SPS＜당기＞,"22,592","25,015","23,898","20,327","29,225",, , 
펼치기 EV/EBITDA,10.41,16.07,10.10,6.52,14.55,, , 
  EV＜당기＞,"4,533.1","5,011.5","3,094.5","2,784.8","5,268.3",, , 
  EBITDA＜당기＞,435.7,311.9,306.5,427.1,362.0,, , 
펼치기 DPS,80,50,60,80,60,, , 
  현금DPS,80,50,60,80,60,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.75,0.43,0.74,0.97,0.57,, , 
  현금배당성향(%),14.29,28.51,17.94,15.32,13.28,, , 
