항목,2017/12,"2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-142,10,166,3,114,293,"3,671",156
  당기순이익(지배)＜당기＞,-22.4,1.5,26.9,0.5,35.5,106.0, , 
  보통주수정평균발행주식수＜당기＞,"15,832,549","15,832,549","16,231,250","17,512,577","30,997,388","36,232,047", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,041","1,047","1,213","1,469","6,419","6,305",337,-2
  자본총계(지배)＜당기＞,164.9,165.7,205.6,271.9,"2,227.8","2,302.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,832,549","15,832,549","16,958,711","18,505,136","34,708,732","36,510,722", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-4,-114,48,298,557,524,87,-6
  영업활동현금흐름＜당기＞,-0.6,-18.1,7.8,52.2,172.8,354.0, , 
  보통주수정평균발행주식수＜당기＞,"15,832,549","15,832,549","16,231,250","17,512,577","30,997,388","36,232,047", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,902,"1,239","1,647","2,599","3,843","5,624",48,46
  매출액＜당기＞,142.9,196.2,267.4,455.1,"1,191.2","2,037.7", , 
  보통주수정평균발행주식수＜당기＞,"15,832,549","15,832,549","16,231,250","17,512,577","30,997,388","36,232,047", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,235.41,24.32,"3,238.63",138.91,28.51,-95.71,-79.48
  보통주수정주가(기말)＜당기＞,"2,660","2,245","4,035","9,830","15,900","8,340", , 
  EPS＜당기＞,-142,10,166,3,114,293, , 
펼치기 PBR,2.55,2.15,3.33,6.69,2.48,1.32,-62.98,-46.60
  보통주수정주가(기말)＜당기＞,"2,660","2,245","4,035","9,830","15,900","8,340", , 
  BPS＜당기＞,"1,041","1,047","1,213","1,469","6,419","6,305", , 
펼치기 PCR,-660.48,-19.69,84.40,33.00,28.53,15.90,-13.56,-44.25
  보통주수정주가(기말)＜당기＞,"2,660","2,245","4,035","9,830","15,900","8,340", , 
  CPS＜당기＞,-4,-114,48,298,557,524, , 
펼치기 PSR,2.95,1.81,2.45,3.78,4.14,1.48,9.37,-64.16
  보통주수정주가(기말)＜당기＞,"2,660","2,245","4,035","9,830","15,900","8,340", , 
  SPS＜당기＞,902,"1,239","1,647","2,599","3,843","5,624", , 
펼치기 EV/EBITDA,-500.85,51.41,40.34,29.17,41.73,11.30,43.08,-72.91
  EV＜당기＞,369.8,337.0,702.0,"1,807.1","5,134.1","2,777.0", , 
  EBITDA＜당기＞,-0.7,6.6,17.4,62.0,123.0,245.7, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  현금배당성향(%),,0.00,0.00,0.00,,, , 
