항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-410,-11,-14,-405,-266,, , 
  당기순이익(지배)＜당기＞,-85.8,-2.5,-3.6,-101.4,-76.5,, , 
  보통주수정평균발행주식수＜당기＞,"20,917,078","24,006,877","25,016,587","25,016,587","28,717,978","33,561,306", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,038",984,994,786,"1,001",, , 
  자본총계(지배)＜당기＞,227.5,246.3,248.7,196.7,311.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"21,927,844","25,016,585","25,016,585","25,016,585","31,121,107","36,344,989", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,767,"1,283","-1,793",82,202,, , 
  영업활동현금흐름＜당기＞,160.5,307.9,-448.6,20.4,58.0,, , 
  보통주수정평균발행주식수＜당기＞,"20,917,078","24,006,877","25,016,587","25,016,587","28,717,978","33,561,306", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"12,033","10,448","9,599","2,897","2,637",, , 
  매출액＜당기＞,"2,516.9","2,508.3","2,401.3",724.7,757.2,, , 
  보통주수정평균발행주식수＜당기＞,"20,917,078","24,006,877","25,016,587","25,016,587","28,717,978","33,561,306", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"1,828","1,495","1,435","6,400","2,995","2,745", , 
  EPS＜당기＞,-410,-11,-14,-405,-266,, , 
펼치기 PBR,1.76,1.52,1.44,8.14,2.99,, , 
  보통주수정주가(기말)＜당기＞,"1,828","1,495","1,435","6,400","2,995","2,745", , 
  BPS＜당기＞,"1,038",984,994,786,"1,001",, , 
펼치기 PCR,2.38,1.17,-0.80,78.35,14.83,, , 
  보통주수정주가(기말)＜당기＞,"1,828","1,495","1,435","6,400","2,995","2,745", , 
  CPS＜당기＞,767,"1,283","-1,793",82,202,, , 
펼치기 PSR,0.15,0.14,0.15,2.21,1.14,, , 
  보통주수정주가(기말)＜당기＞,"1,828","1,495","1,435","6,400","2,995","2,745", , 
  SPS＜당기＞,"12,033","10,448","9,599","2,897","2,637",, , 
펼치기 EV/EBITDA,14.47,53.80,18.83,-138.16,-17.75,, , 
  EV＜당기＞,"1,535.5","1,216.9","1,468.4","1,757.1",993.8,, , 
  EBITDA＜당기＞,106.1,22.6,78.0,-12.7,-56.0,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
