마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,1577.36,1356.21,1308.45,1196.6
매출,1577.36,1356.21,1308.45,1196.6
기타 매출 총계,-,-,-,-
총매출원가,379.3,358.77,340.32,301.25
총 이익,1198.06,997.44,968.13,895.36
총 영업비용,601.41,690.07,673.5,607.71
판매/일반/관리 비용 총계,120.99,124.93,114.52,97.41
연구 및 개발,-,-,-,-
감가상각/무형자산상각,241.88,224.44,219.86,209.05
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-140.76,-18.07,-1.21,-
기타 영업비용 총계,-,-,-,-
영업 이익,975.95,666.14,634.96,588.9
영업외이자수익(비용) 순계,-77.87,-134.75,-172.53,-163.38
자산처분이익(손실),-,-,-,30.81
기타비용 순계,-,-,-,-
세전당기순이익,898.08,531.39,462.43,456.32
소득세충당금,20.32,13.81,11.31,9.24
세후당기순이익,877.76,517.58,451.12,447.08
소액주주지분,-50.11,-35.8,-31.16,-31.79
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,827.65,481.78,419.97,415.29
특별손익항목 총계,-,-,-,-
순이익,827.65,481.78,419.97,415.29
당기순이익에 대한 조정 총계,-1.18,-0.71,-0.68,-0.72
특별손익항목 제외 보통주주 분배 가능 이익,826.47,481.07,419.29,414.57
희석화에 따른 조정,40.8,-,22.12,-
희석 당기순이익,867.27,481.07,441.41,414.57
희석된 가중 평균 주식,140.02,129.58,136.43,133.16
특별손익항목 제외 희석주당순이익,6.19,3.71,3.24,3.11
주당배당금 - 발행 보통주,4.5,3.6,3.56,3.36
희석 정상주당순이익,5.21,3.58,3.23,2.89
