마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,14964,11423,12669,14212
매출,-,-,-,-
기타 매출 총계,14964,11423,12669,14212
총매출원가,-,-,-,-
총 영업비용,13862,9874,10962,12618
연료비,9208,5839,6846,8517
운영 및 유지,2420,2305,2419,2451
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1377,1292,1263,1124
영업이자비용(수익) 순계,-,-,5,94
특별비용(수익),426,43,15,27
기타 영업비용 총계,431,395,414,405
영업 이익,1102,1549,1707,1594
영업외이자수익(비용) 순계,-562,-518,-476,-409
자산처분이익(손실),-,-,-,-
기타비용 순계,89,26,69,3
세전당기순이익,656,1082,1324,1216
소득세충당금,-130,37,152,77
세후당기순이익,786,1045,1172,1139
소액주주지분,10,9,-3,2
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,796,1054,1169,1141
특별손익항목 총계,111,314,-,-21
순이익,907,1368,1169,1120
당기순이익에 대한 조정 총계,-2,-2,-2,-2
특별손익항목 제외 보통주주 분배 가능 이익,794,1052,1167,1139
희석화에 따른 조정,-,-,-,-
희석 당기순이익,905,1366,1167,1118
희석된 가중 평균 주식,194,193,185,181
특별손익항목 제외 희석주당순이익,4.09,5.45,6.31,6.29
주당배당금 - 발행 보통주,3.88,4.12,3.78,3.53
희석 정상주당순이익,5.52,5.67,6.38,6.43
