마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
순 수입이자,4114,3262.55,2764.17,2501.11
"수입이자,은행",4385,3852.67,3579.48,3031.61
총 지급이자,271,590.12,815.31,530.5
대손충당금,59,157.09,61.69,76.09
대손충당금 후 순 수입이자,4055,3105.46,2702.48,2425.02
"비 수입이자,은행",920,655.63,577.22,543.45
"비 지급이자,은행",-3147,-2427.13,-2146.46,-1916.72
세전당기순이익,1828,1333.96,1133.24,1051.74
소득세충당금,350,269.81,202.91,197.91
세후당기순이익,1478,1064.15,930.33,853.83
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1478,1064.15,930.33,853.83
특별손익항목 총계,-,-,-,-
순이익,1478,1064.15,930.33,853.83
당기순이익에 대한 조정 총계,-99,-58.73,-49.07,-57.73
특별손익항목 제외 보통주주 분배 가능 이익,1379,1005.43,881.26,796.1
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1379,1005.43,881.26,796.1
희석된 가중 평균 주식,180,173.05,169.55,165.61
특별손익항목 제외 희석주당순이익,7.66,5.81,5.2,4.81
주당배당금 - 발행 보통주,0.86,0.79,0.75,0.71
희석 정상주당순이익,7.66,5.81,5.2,4.81
