마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,28720,26581,25868,25938
매출,28720,26581,25868,25938
기타 매출 총계,-,-,-,-
총매출원가,17466,16135,15531,15586
총 이익,11254,10446,10337,10352
총 영업비용,24204,22913,22025,22766
판매/일반/관리 비용 총계,5903,5550,5517,5797
연구 및 개발,347,332,351,362
감가상각/무형자산상각,134,194,174,176
영업이자비용(수익) 순계,-,-,8,-3
특별비용(수익),354,702,452,848
기타 영업비용 총계,-,-,-,-
영업 이익,4516,3668,3843,3172
영업외이자수익(비용) 순계,-365,-526,-595,-358
자산처분이익(손실),-,-,-,-
기타비용 순계,218,241,199,28
세전당기순이익,4369,3383,3447,2842
소득세충당금,1190,1224,-3,754
세후당기순이익,3179,2159,3450,2088
소액주주지분,-14,-14,-15,-14
관계회사 주식,1135,1410,499,1326
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,4300,3555,3934,3400
특별손익항목 총계,-,-,-5,-19
순이익,4300,3555,3929,3381
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,4300,3555,3934,3400
희석화에 따른 조정,-,-,-,-
희석 당기순이익,4300,3555,3929,3381
희석된 가중 평균 주식,1413,1441,1458,1486
특별손익항목 제외 희석주당순이익,3.04,2.47,2.7,2.29
주당배당금 - 발행 보통주,1.33,1.2,1.09,1.18
희석 정상주당순이익,3.4,2.9,2.91,2.73
