마감 기준:,"2022
29/01","2021
30/01","2020
01/02","2019
02/02"
총매출,16670,13800,16383,16580
매출,16670,13800,16383,16580
기타 매출 총계,-,-,-,-
총매출원가,10033,9095,10250,10258
총 이익,6637,4705,6133,6322
총 영업비용,16185,14720,15809,15218
판매/일반/관리 비용 총계,1494,1174,980,966
연구 및 개발,41,46,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,4,33
특별비용(수익),393,615,353,14
기타 영업비용 총계,4224,3790,4222,3947
영업 이익,485,-920,574,1362
영업외이자수익(비용) 순계,-162,-182,-46,-40
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,323,-1102,528,1322
소득세충당금,85,-315,147,286
세후당기순이익,238,-787,381,1036
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,238,-787,381,1036
특별손익항목 총계,18,122,-30,-33
순이익,256,-665,351,1003
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,238,-787,381,1036
희석화에 따른 조정,-,-,-,1.92
희석 당기순이익,256,-665,351,1003
희석된 가중 평균 주식,383,374,378,388
특별손익항목 제외 희석주당순이익,0.62,-2.1,1.01,2.67
주당배당금 - 발행 보통주,0.36,0.24,0.97,0.97
희석 정상주당순이익,1.46,-1.04,1.68,2.7
