마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,24021,19811,23571,23771
매출,24021,19811,23571,23771
기타 매출 총계,-,-,-,-
총매출원가,18326,14917,17591,18034
총 이익,5695,4894,5980,5737
총 영업비용,21315,17542,20871,20985
판매/일반/관리 비용 총계,2374,2125,2454,2437
연구 및 개발,431,236,332,293
감가상각/무형자산상각,681,692,689,629
영업이자비용(수익) 순계,-506,-452,-330,-394
특별비용(수익),14,30,143,17
기타 영업비용 총계,-5,-6,-8,-31
영업 이익,2706,2269,2700,2786
영업외이자수익(비용) 순계,-78,-66,-33,-110
자산처분이익(손실),18,-,-,-
기타비용 순계,105,135,158,77
세전당기순이익,2751,2338,2825,2753
소득세충당금,587,527,566,554
세후당기순이익,2164,1811,2259,2199
소액주주지분,-33,-22,-8,-46
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2131,1789,2251,2153
특별손익항목 총계,-,-,-,-12
순이익,2131,1789,2251,2141
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2131,1789,2251,2153
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2131,1789,2251,2141
희석된 가중 평균 주식,145.9,149,156.1,162.77
특별손익항목 제외 희석주당순이익,14.61,12.01,14.42,13.23
주당배당금 - 발행 보통주,5.6,5.28,4.9,4.44
희석 정상주당순이익,14.58,12.16,15.15,13.31
