마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,18625,11078.93,17256.36,17100.84
매출,18625,11078.93,17256.36,17100.84
기타 매출 총계,-,-,-,-
총매출원가,6750,4976.3,7981.92,7694.77
총 이익,11875,6102.63,9274.44,9406.07
총 영업비용,12523,11622.95,13557.35,12631.49
판매/일반/관리 비용 총계,1558,961.76,1289.56,1199.45
연구 및 개발,205,137.87,141.88,129.4
감가상각/무형자산상각,3651,3400.35,3749.7,3435.41
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),359,2146.66,394.28,172.46
기타 영업비용 총계,-,-,-,-
영업 이익,6102,-544.02,3699.01,4469.35
영업외이자수익(비용) 순계,-178,-205.27,-185.13,-245.05
자산처분이익(손실),-,-,-,-
기타비용 순계,9,10.23,31.39,16.7
세전당기순이익,5933,-739.05,3545.27,4241
소득세충당금,1269,-134.48,810.36,873.96
세후당기순이익,4664,-604.57,2734.91,3367.04
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,4664,-604.57,2734.91,3367.04
특별손익항목 총계,-,-,-,52
순이익,4664,-604.57,2734.91,3419.04
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,4664,-604.57,2734.91,3367.04
희석화에 따른 조정,-,-,-,-
희석 당기순이익,4664,-604.57,2734.91,3419.04
희석된 가중 평균 주식,584,578.95,580.78,580.44
특별손익항목 제외 희석주당순이익,7.99,-1.04,4.71,5.8
주당배당금 - 발행 보통주,1.99,1.5,1.08,0.81
희석 정상주당순이익,8.47,1.81,6.1,6.04
