마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5627,4448,4485,4218
매출,5627,4448,4485,4218
기타 매출 총계,-,-,-,-
총매출원가,2999,2445,2385,2237
총 이익,2628,2003,2100,1981
총 영업비용,4648,3797,3793,3608
판매/일반/관리 비용 총계,935,787,826,811
연구 및 개발,567,453,447,444
감가상각/무형자산상각,115,78,103,97
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),32,34,32,19
기타 영업비용 총계,-,-,-,-
영업 이익,979,651,692,610
영업외이자수익(비용) 순계,-10,-94,-95,-96
자산처분이익(손실),-,-,-,-
기타비용 순계,-1,3,1,10
세전당기순이익,968,560,598,524
소득세충당금,131,56,54,106
세후당기순이익,837,504,544,418
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,837,504,544,418
특별손익항목 총계,-,-,-,3
순이익,837,504,544,421
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,837,504,544,418
희석화에 따른 조정,-,-,-,-
희석 당기순이익,837,504,544,421
희석된 가중 평균 주식,53.9,53.91,53.99,54.3
특별손익항목 제외 희석주당순이익,15.53,9.35,10.08,7.7
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,16.04,9.92,10.61,7.98
