마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3415.82,2915.07,2855.11,2754.28
매출,3415.82,2915.07,2855.11,2754.28
기타 매출 총계,-,-,-,-
총매출원가,920.6,867.46,813.15,739.72
총 이익,2495.23,2047.61,2041.96,2014.56
총 영업비용,1735.28,1503.92,1388.22,1190.47
판매/일반/관리 비용 총계,95.06,73.18,54.45,110.49
연구 및 개발,-,-,-,-
감가상각/무형자산상각,713.43,553.26,512.92,483.65
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),6.19,10.02,7.69,-143.38
기타 영업비용 총계,-,-,-,-
영업 이익,1680.54,1411.15,1466.89,1563.81
영업외이자수익(비용) 순계,265.41,-51.42,58.42,115.51
자산처분이익(손실),13.68,1.49,0.34,37.9
기타비용 순계,-,-,-,-
세전당기순이익,1959.64,1361.23,1525.65,1717.22
소득세충당금,-,-,-,-
세후당기순이익,1959.64,1361.23,1525.65,1717.22
소액주주지분,-6.38,-4.01,-5.12,-6.19
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1953.26,1357.21,1520.53,1711.03
특별손익항목 총계,-,-,-,-
순이익,1953.26,1357.21,1520.53,1711.03
당기순이익에 대한 조정 총계,-220.82,-258.88,-247.77,-222.13
특별손익항목 제외 보통주주 분배 가능 이익,1732.44,1098.34,1272.77,1488.9
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1732.44,1098.34,1272.77,1488.9
희석된 가중 평균 주식,175.57,174.64,174.53,174.3
특별손익항목 제외 희석주당순이익,9.87,6.29,7.29,8.54
주당배당금 - 발행 보통주,8,8,8,8
희석 정상주당순이익,9.82,6.34,7.33,7.5
