마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,23102.14,16207.11,15309.51,16631.17
매출,23102.14,16207.11,15309.51,16631.17
기타 매출 총계,-,-,-,-
총매출원가,19950.05,13794.85,12723.2,13925.94
총 이익,3152.09,2412.26,2586.31,2705.24
총 영업비용,22020.03,15533.84,14519.53,15719.09
판매/일반/관리 비용 총계,2069.98,1738.99,1796.33,1793.15
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,1082.11,673.27,789.98,912.08
영업외이자수익(비용) 순계,-59.82,-44.94,-47.72,-31.81
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,1022.29,628.33,742.26,880.27
소득세충당금,178.05,121.91,165.29,212.37
세후당기순이익,844.25,506.42,576.97,667.9
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,844.25,506.42,576.97,667.9
특별손익항목 총계,-,-,-,-3.4
순이익,844.25,506.42,576.97,664.5
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,844.25,506.42,576.97,667.9
희석화에 따른 조정,-,-,-,-
희석 당기순이익,844.25,506.42,576.97,664.5
희석된 가중 평균 주식,133.83,136.17,137.74,140.41
특별손익항목 제외 희석주당순이익,6.31,3.72,4.19,4.76
주당배당금 - 발행 보통주,2.08,2.04,2.01,1.88
희석 정상주당순이익,6.31,3.72,4.19,4.76
