마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,18884,15301,16883,14950
매출,18884,15301,16883,14950
기타 매출 총계,-,-,-,-
총매출원가,-,-,-,-
총 이익,-,-,-,-
총 영업비용,8802,7220,7219,7668
판매/일반/관리 비용 총계,7931,6558,6626,6170
연구 및 개발,-,-,-,-
감가상각/무형자산상각,726,580,522,459
영업이자비용(수익) 순계,51,9,71,-89
특별비용(수익),94,73,-,1128
기타 영업비용 총계,-,-,-,-
영업 이익,10082,8081,9664,7282
영업외이자수익(비용) 순계,225,-326,40,-64
자산처분이익(손실),-,-,-,-
기타비용 순계,-,5,27,-14
세전당기순이익,10307,7760,9731,7204
소득세충당금,1620,1349,1640,1420
세후당기순이익,8687,6411,8091,5784
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,8687,6411,8091,5784
특별손익항목 총계,-,-,27,75
순이익,8687,6411,8118,5859
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,8687,6411,8091,5784
희석화에 따른 조정,-,-,-,-
희석 당기순이익,8687,6411,8118,5859
희석된 가중 평균 주식,992,1006,1022.06,1047
특별손익항목 제외 희석주당순이익,8.76,6.37,7.92,5.52
주당배당금 - 발행 보통주,1.76,1.6,1.32,1
희석 정상주당순이익,8.84,6.43,7.92,6.39
