마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,10788,9437,7726,7531
매출,10788,9437,7726,7531
기타 매출 총계,-,-,-,-
총매출원가,6510,5720,5002,4870
총 이익,4278,3717,2724,2661
총 영업비용,8407,7466,6495,6430
판매/일반/관리 비용 총계,1680,1509,1403,1359
연구 및 개발,-,-,-,-
감가상각/무형자산상각,103,103,96,90
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),116,134,90,126
기타 영업비용 총계,-2,-,-96,-15
영업 이익,2381,1971,1231,1101
영업외이자수익(비용) 순계,-151,-163,-175,-167
자산처분이익(손실),-,-,-,-
기타비용 순계,369,76,20,-8
세전당기순이익,2599,1884,1076,926
소득세충당금,597,460,247,196
세후당기순이익,2002,1424,829,730
소액주주지분,-85,-68,-48,-52
관계회사 주식,78,75,57,44
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1995,1431,838,722
특별손익항목 총계,-,-,20,14
순이익,1995,1431,858,736
당기순이익에 대한 조정 총계,-7,-6,-3,-3
특별손익항목 제외 보통주주 분배 가능 이익,1988,1425,835,719
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1988,1425,855,733
희석된 가중 평균 주식,128,136,136,139
특별손익항목 제외 희석주당순이익,15.53,10.48,6.14,5.17
주당배당금 - 발행 보통주,2.42,2.21,2.12,1.95
희석 정상주당순이익,16.23,11.22,6.65,5.89
