마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,10201,7532,6554,7476
매출,10201,7532,6554,7476
기타 매출 총계,-,-,-,-
총매출원가,6103,5447,5412,5592
총 이익,4098,2085,1142,1884
총 영업비용,6558,5983,6370,6282
판매/일반/관리 비용 총계,491,430,432,406
연구 및 개발,5,5,6,8
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-5,7,2,-3
특별비용(수익),-78,67,558,227
기타 영업비용 총계,42,27,-40,52
영업 이익,3643,1549,184,1194
영업외이자수익(비용) 순계,-308,-530,-336,-315
자산처분이익(손실),-,-,-,-
기타비용 순계,-19,-37,-61,-72
세전당기순이익,3316,982,-213,807
소득세충당금,709,185,-137,59
세후당기순이익,2607,797,-76,748
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2607,797,-76,748
특별손익항목 총계,-,-,-,-
순이익,2607,797,-76,748
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2607,797,-76,748
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2607,797,-76,748
희석된 가중 평균 주식,750.98,747.9,745.9,756.83
특별손익항목 제외 희석주당순이익,3.47,1.07,-0.1,0.99
주당배당금 - 발행 보통주,0.68,-,1.36,1.32
희석 정상주당순이익,3.37,1.13,0.38,1.27
