마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3461.22,3198.15,2893.62,2714.47
매출,3461.22,3198.15,2893.62,2714.47
기타 매출 총계,-,-,-,-
총매출원가,1268.96,1132.67,987.62,953.49
총 이익,2192.27,2065.48,1905.99,1760.99
총 영업비용,2678.07,2539.61,2344.7,2351.97
판매/일반/관리 비용 총계,919.74,949.58,949.47,935.45
연구 및 개발,335.37,269.31,261.37,246.16
감가상각/무형자산상각,129.95,124.91,117.17,113.33
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),24.05,63.14,29.07,103.55
기타 영업비용 총계,-,-,-,-
영업 이익,783.15,658.53,548.92,362.5
영업외이자수익(비용) 순계,-56.71,-40,-15.01,-16.26
자산처분이익(손실),-,-,-,-
기타비용 순계,1.78,-2.45,-1.43,-3.15
세전당기순이익,728.22,616.08,532.48,343.09
소득세충당금,62.57,45.92,53.35,41.62
세후당기순이익,665.65,570.16,479.13,301.47
소액주주지분,-,-,-,-
관계회사 주식,-14.01,-13.11,-1.1,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,651.64,557.05,478.04,301.47
특별손익항목 총계,-,-,-,-3.1
순이익,651.64,557.05,478.04,298.37
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,651.64,557.05,478.04,301.47
희석화에 따른 조정,-,-,-,-
희석 당기순이익,651.64,557.05,478.04,298.37
희석된 가중 평균 주식,165.8,165.21,164.57,169.19
특별손익항목 제외 희석주당순이익,3.93,3.37,2.9,1.78
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,4.06,3.73,3.09,2.32
