마감 기준:,"2021
30/09","2020
30/09","2019
30/09","2018
30/09"
총매출,4798,5103,5223.2,3811.13
매출,4798,5103,5223.2,3811.13
기타 매출 총계,-,-,-,-
총매출원가,2249,2409,2323.93,1612.72
총 이익,2549,2694,2899.27,2198.41
총 영업비용,3075,3380,3299.67,2162.14
판매/일반/관리 비용 총계,544.4,566.1,552.17,368.28
연구 및 개발,105.6,130.9,116.8,73.8
감가상각/무형자산상각,137,169,134.95,72.45
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),39,105,171.81,34.9
기타 영업비용 총계,-,-,-,-
영업 이익,1723,1723,1923.53,1648.98
영업외이자수익(비용) 순계,-1059,-1029,-859.75,-663.01
자산처분이익(손실),-,-,-,-
기타비용 순계,51,46,-0.92,-0.42
세전당기순이익,715,740,1062.87,985.56
소득세충당금,34,87,221.99,170.42
세후당기순이익,681,653,840.88,815.14
소액주주지분,-1,-1,-1.54,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,680,652,839.34,815.14
특별손익항목 총계,-,47,50.43,141.93
순이익,680,699,889.77,957.06
당기순이익에 대한 조정 총계,-73,-185,-111.02,-56.15
특별손익항목 제외 보통주주 분배 가능 이익,607,467,728.32,758.99
희석화에 따른 조정,-,-,-,-
희석 당기순이익,607,514,778.75,900.91
희석된 가중 평균 주식,58.4,57.3,56.27,55.6
특별손익항목 제외 희석주당순이익,10.39,8.15,12.94,13.65
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,11.19,10.2,15.43,14.24
