마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2890,1620,5469,5524
매출,2890,1620,5469,5524
기타 매출 총계,-,-,-,-
총매출원가,-,-,-,-
총 이익,-,-,-,-
총 영업비용,3163,2609,4726,4994
판매/일반/관리 비용 총계,2386,1908,3999,4057
연구 및 개발,-,-,-,-
감가상각/무형자산상각,762,665,670,684
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),15,36,57,253
기타 영업비용 총계,-,-,-,-
영업 이익,-273,-989,743,530
영업외이자수익(비용) 순계,-135,-180,-121,-131
자산처분이익(손실),306,208,334,902
기타비용 순계,-,208,6,-
세전당기순이익,-102,-961,962,1301
소득세충당금,-91,-220,30,150
세후당기순이익,-11,-741,932,1151
소액주주지분,1,9,-12,-64
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,-10,-732,920,1087
특별손익항목 총계,-,-,-,-
순이익,-10,-732,920,1087
당기순이익에 대한 조정 총계,-2,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,-12,-732,920,1087
희석화에 따른 조정,-,-,-,-
희석 당기순이익,-12,-732,920,1087
희석된 가중 평균 주식,710.3,705.9,731.1,740.6
특별손익항목 제외 희석주당순이익,-0.02,-1.04,1.26,1.47
주당배당금 - 발행 보통주,-,-,0.8,0.8
희석 정상주당순이익,-0.51,-1.22,0.89,0.69
