마감 기준:,"2021
30/06","2020
30/06","2019
30/06","2018
30/06"
총매출,76118,70950,67684,66832
매출,76118,70950,67684,66832
기타 매출 총계,-,-,-,-
총매출원가,36974,34636,33949,33613
총 이익,39144,36314,33735,33219
총 영업비용,58664,55257,61856,53489
판매/일반/관리 비용 총계,18948,19849,19005,18679
연구 및 개발,1900,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-10,-158,107
특별비용(수익),842,782,9060,1090
기타 영업비용 총계,-,-,-,819
영업 이익,17454,15693,5828,13343
영업외이자수익(비용) 순계,-388,-310,-289,-259
자산처분이익(손실),-,-,-,-
기타비용 순계,549,451,530,242
세전당기순이익,17615,15834,6069,13326
소득세충당금,3263,2731,2103,2865
세후당기순이익,14352,13103,3966,10461
소액주주지분,-46,-76,-69,-111
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,14306,13027,3897,10350
특별손익항목 총계,-,-,-,-600
순이익,14306,13027,3897,9750
당기순이익에 대한 조정 총계,-271,-263,-263,-265
특별손익항목 제외 보통주주 분배 가능 이익,14035,12764,3634,10085
희석화에 따른 조정,271,263,263,265
희석 당기순이익,14306,13027,3634,9750
희석된 가중 평균 주식,2601,2625.8,2539.5,2656.7
특별손익항목 제외 희석주당순이익,5.5,4.96,1.43,3.9
주당배당금 - 발행 보통주,3.24,3.03,2.9,2.79
희석 정상주당순이익,5.76,5.21,5.03,4.39
