마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3764.8,3017.8,2957.2,2965.1
매출,3764.8,3017.8,2957.2,2965.1
기타 매출 총계,-,-,-,-
총매출원가,2445.6,1960.2,1905.7,1917.4
총 이익,1319.2,1057.6,1051.5,1047.7
총 영업비용,3126.5,2556.5,2522.5,2552.8
판매/일반/관리 비용 총계,581.4,506.4,526.1,493.7
연구 및 개발,85.9,75.7,78.9,76.7
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),13.6,14.2,11.8,65
기타 영업비용 총계,-,-,-,-
영업 이익,638.3,461.3,434.7,412.3
영업외이자수익(비용) 순계,-12.5,-23.9,-30.1,-32.6
자산처분이익(손실),-,-,-,-7.3
기타비용 순계,1,-5.3,2.9,0.1
세전당기순이익,626.8,432.1,407.5,379.8
소득세충당금,70.8,75,45.8,31.5
세후당기순이익,556,357.1,361.7,348.3
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,556,357.1,361.7,348.3
특별손익항목 총계,-3,1.5,-6,-0.9
순이익,553,358.6,355.7,347.4
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,556,357.1,361.7,348.3
희석화에 따른 조정,-,-,-,-
희석 당기순이익,553,358.6,355.7,347.4
희석된 가중 평균 주식,167.5,167.4,170.4,177.3
특별손익항목 제외 희석주당순이익,3.32,2.13,2.12,1.96
주당배당금 - 발행 보통주,0.8,0.76,0.72,1.05
희석 정상주당순이익,3.44,2.26,2.36,2.3
