마감 기준:,"2021
30/09","2020
30/09","2019
30/09","2018
30/09"
총매출,24105,21846,22977,20609
매출,24105,21846,22977,20609
기타 매출 총계,-,-,-,-
총매출원가,4970,4512,4165,3856
총 이익,19135,17334,18812,16753
총 영업비용,8301,7765,7976,7655
판매/일반/관리 비용 총계,2524,2475,2755,2579
연구 및 개발,-,-,-,-
감가상각/무형자산상각,804,767,656,613
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),3,11,400,607
기타 영업비용 총계,-,-,721,686
영업 이익,15804,14081,15001,12954
영업외이자수익(비용) 순계,218,-316,-533,-612
자산처분이익(손실),-,-,-,-
기타비용 순계,41,25,416,464
세전당기순이익,16063,13790,14884,12806
소득세충당금,3752,2924,2804,2491
세후당기순이익,12311,10866,12080,10315
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,12311,10866,12080,10315
특별손익항목 총계,-,-,-,-14
순이익,12311,10866,12080,10301
당기순이익에 대한 조정 총계,-303,-391,-430,-359
특별손익항목 제외 보통주주 분배 가능 이익,12008,10475,11650,9956
희석화에 따른 조정,303,391,430,359
희석 당기순이익,12311,10866,12080,10301
희석된 가중 평균 주식,2625.59,2664.59,2717.59,2329
특별손익항목 제외 희석주당순이익,4.69,4.08,4.45,4.43
주당배당금 - 발행 보통주,1.28,1.2,1,0.82
희석 정상주당순이익,4.74,4.09,4.56,4.64
