마감 기준:,"2021
30/06","2020
30/06","2019
30/06","2018
30/06"
총매출,16215,14294,14863,13683
매출,16215,14294,14863,13683
기타 매출 총계,-,-,-,-
총매출원가,3834,3552,3387,2844
총 이익,12381,10742,11476,10839
총 영업비용,13597,13688,12550,11631
판매/일반/관리 비용 총계,9107,8402,8649,8369
연구 및 개발,243,228,202,181
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,6,6
특별비용(수익),413,1506,306,231
기타 영업비용 총계,-,-,-,-
영업 이익,2618,606,2313,2052
영업외이자수익(비용) 순계,725,444,-75,-72
자산처분이익(손실),-,-,-,-
기타비용 순계,-12,-4,69,-
세전당기순이익,3331,1046,2307,1980
소득세충당금,456,350,508,436
세후당기순이익,2875,696,1799,1544
소액주주지분,-5,-12,-9,-9
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2870,684,1790,1535
특별손익항목 총계,-,-,-5,-427
순이익,2870,684,1785,1108
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2870,684,1790,1535
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2870,684,1785,1108
희석된 가중 평균 주식,368.2,366.9,370.4,375.7
특별손익항목 제외 희석주당순이익,7.79,1.86,4.83,4.09
주당배당금 - 발행 보통주,2.07,1.39,1.67,1.48
희석 정상주당순이익,8.76,4.6,5.48,4.57
