마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,292111,268706,256776,194579
매출,292111,268706,256776,194579
기타 매출 총계,-,-,-,-
총매출원가,175803,163981,158719,156447
총 이익,116308,104725,98057,38132
총 영업비용,279370,256235,244868,190558
판매/일반/관리 비용 총계,36934,35072,33061,21368
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),2373,1503,559,6149
기타 영업비용 총계,64260,55679,52529,6594
영업 이익,12741,12471,11908,4021
영업외이자수익(비용) 순계,-2503,-2907,-3035,-2619
자산처분이익(손실),-,-,-,-
기타비용 순계,182,206,124,4
세전당기순이익,10420,9770,8997,1406
소득세충당금,2522,2569,2366,2102
세후당기순이익,7898,7201,6631,-696
소액주주지분,12,-13,3,2
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,7910,7188,6634,-694
특별손익항목 총계,-,-9,-,100
순이익,7910,7179,6634,-594
당기순이익에 대한 조정 총계,-,-,-,-3
특별손익항목 제외 보통주주 분배 가능 이익,7910,7188,6634,-697
희석화에 따른 조정,-,-,-,-
희석 당기순이익,7910,7179,6634,-597
희석된 가중 평균 주식,1329,1314,1305,1044
특별손익항목 제외 희석주당순이익,5.95,5.47,5.08,-0.67
주당배당금 - 발행 보통주,2,2,2,2
희석 정상주당순이익,7.27,6.31,5.52,3.16
