마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,16802,13834,15146,15374
매출,16802,13834,15146,15374
기타 매출 총계,-,-,-,-
총매출원가,10245,7743,8619,9001
총 이익,6557,6091,6527,6373
총 영업비용,15091,12394,13453,13642
판매/일반/관리 비용 총계,3821,3423,3638,3573
연구 및 개발,415,357,408,418
감가상각/무형자산상각,585,531,535,520
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-31,280,176,66
기타 영업비용 총계,56,60,77,64
영업 이익,1711,1440,1693,1732
영업외이자수익(비용) 순계,-80,-107,-102,-142
자산처분이익(손실),47,5,-,26
기타비용 순계,137,24,70,103
세전당기순이익,1815,1362,1661,1693
소득세충당금,374,291,392,366
세후당기순이익,1441,1071,1269,1327
소액주주지분,-21,-15,-26,-17
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1420,1056,1243,1310
특별손익항목 총계,19,3,-,31
순이익,1439,1059,1243,1341
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1420,1056,1243,1310
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1439,1059,1243,1341
희석된 가중 평균 주식,239.4,237.9,238.2,245.4
특별손익항목 제외 희석주당순이익,5.93,4.44,5.22,5.34
주당배당금 - 발행 보통주,2.26,2.1,1.98,1.86
희석 정상주당순이익,5.98,5.74,5.84,5.66
