마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3494.8,3427.1,2496.1,2768.8
매출,3494.8,3427.1,2496.1,2768.8
기타 매출 총계,-,-,-,-
총매출원가,2018.7,2172.8,1359.2,1551.9
총 이익,1476.1,1254.3,1136.9,1216.9
총 영업비용,2693.9,2764.9,1958.9,2169.4
판매/일반/관리 비용 총계,470.8,364.2,336.4,369.5
연구 및 개발,-,-,-,-
감가상각/무형자산상각,167.4,158.5,176.6,204
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),20.6,45.2,48.5,30
기타 영업비용 총계,16.4,24.2,38.2,14
영업 이익,800.9,662.2,537.2,599.4
영업외이자수익(비용) 순계,-47.4,-37.6,-35.9,-38.2
자산처분이익(손실),-,-,-,-
기타비용 순계,2.6,35.8,0.1,10
세전당기순이익,756.1,660.4,501.4,571.2
소득세충당금,227.1,192.2,130.6,146
세후당기순이익,529,468.2,370.8,425.2
소액주주지분,-,-,4.1,1.3
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,529,468.2,374.9,426.5
특별손익항목 총계,-,-,-,-
순이익,529,468.2,374.9,426.5
당기순이익에 대한 조정 총계,-1.7,-1.2,-2.2,-4.4
특별손익항목 제외 보통주주 분배 가능 이익,527.3,467,372.7,422.1
희석화에 따른 조정,-,-,-,-
희석 당기순이익,527.3,467,372.7,422.1
희석된 가중 평균 주식,107.2,109.3,111.8,112.2
특별손익항목 제외 희석주당순이익,4.92,4.27,3.33,3.76
주당배당금 - 발행 보통주,1.8,1.56,1.34,1.16
희석 정상주당순이익,5.04,4.35,3.65,3.96
