마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5486,3077,5140,6263
매출,5486,3077,5140,6263
기타 매출 총계,-,-,-,-
총매출원가,534,555,712,842
총 이익,4952,2522,4428,5421
총 영업비용,4329,4315,4507,4596
판매/일반/관리 비용 총계,624,457,667,693
연구 및 개발,136,181,149,289
감가상각/무형자산상각,2066,2316,2397,2441
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),242,210,-23,-244
기타 영업비용 총계,727,596,605,575
영업 이익,1157,-1238,633,1667
영업외이자수익(비용) 순계,-202,-262,-251,-239
자산처분이익(손실),-,-,-,-
기타비용 순계,49,35,10,-1
세전당기순이익,1004,-1465,392,1427
소득세충당금,58,-14,-88,331
세후당기순이익,946,-1451,480,1096
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,946,-1451,480,1096
특별손익항목 총계,-,-,-,-
순이익,946,-1451,480,1096
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,946,-1451,480,1096
희석화에 따른 조정,-,-,-,-
희석 당기순이익,946,-1451,480,1096
희석된 가중 평균 주식,788,792,810,847
특별손익항목 제외 희석주당순이익,1.2,-1.83,0.59,1.29
주당배당금 - 발행 보통주,0.22,0.11,0.2,0.2
희석 정상주당순이익,1.49,-1.66,0.57,1.07
