마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,17881.11,15493.43,12807.68,13621.3
매출,17881.11,15493.43,12807.68,13621.3
기타 매출 총계,-,-,-,-
총매출원가,11738.28,10033.73,8984.81,9609.83
총 이익,6142.82,5459.71,3822.87,4011.48
총 영업비용,14681.66,12910.82,10929.29,11469.94
판매/일반/관리 비용 총계,2214.94,1793.12,1313.42,1151.83
연구 및 개발,-,-,-,-
감가상각/무형자산상각,724.85,714.55,630.58,712.02
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),3.59,369.42,0.48,-3.74
기타 영업비용 총계,-,-,-,-
영업 이익,3199.45,2582.61,1878.39,2151.36
영업외이자수익(비용) 순계,-22.02,-11.65,54.42,35.81
자산처분이익(손실),-,-,-,-
기타비용 순계,41.33,1.25,11.12,2
세전당기순이익,3218.76,2572.21,1943.93,2189.18
소득세충당금,762.81,698.27,451.36,533.68
세후당기순이익,2455.95,1873.94,1492.57,1655.49
소액주주지분,-45.3,-111.26,-93.06,-80.4
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2410.64,1762.67,1399.51,1575.09
특별손익항목 총계,-,-,-,-
순이익,2410.64,1762.67,1399.51,1575.09
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2410.64,1762.67,1399.51,1575.09
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2410.64,1762.67,1399.51,1575.09
희석된 가중 평균 주식,636.06,584.36,537.96,527.93
특별손익항목 제외 희석주당순이익,3.79,3.02,2.6,2.98
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,3.79,3.48,2.6,2.98
