마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,136341,127144,155900,160338
매출,136341,127144,155900,160338
기타 매출 총계,-,-,-,-
총매출원가,119903,121336,143405,145730
총 이익,16438,5808,12495,14608
총 영업비용,133520,131553,155381,157135
판매/일반/관리 비용 총계,11915,10193,11161,11403
연구 및 개발,-,-,7400,8200
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-44,2
특별비용(수익),1702,24,859,-
기타 영업비용 총계,-,-,-,-
영업 이익,2821,-4409,519,3203
영업외이자수익(비용) 순계,8312,2614,8,-248
자산처분이익(손실),-,-,-,-
기타비용 순계,6647,679,-1167,1390
세전당기순이익,17780,-1116,-640,4345
소득세충당금,-130,160,-819,773
세후당기순이익,17910,-1276,179,3572
소액주주지분,27,-3,-37,-18
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,17937,-1279,142,3554
특별손익항목 총계,-,-,-95,123
순이익,17937,-1279,47,3677
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,17937,-1279,142,3554
희석화에 따른 조정,-,-,-,-
희석 당기순이익,17937,-1279,47,3677
희석된 가중 평균 주식,4034,3973,4004,3998
특별손익항목 제외 희석주당순이익,4.45,-0.32,0.04,0.89
주당배당금 - 발행 보통주,0.1,0.15,0.6,0.6
희석 정상주당순이익,4.94,0.4,1.88,1.27
