마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,7473,4667,6495,6323
매출,7473,4667,6495,6323
기타 매출 총계,-,-,-,-
총매출원가,2206,1060,1920,1942
총 이익,5267,3607,4575,4381
총 영업비용,5612,7186,5909,5847
판매/일반/관리 비용 총계,1569,1575,1634,1607
연구 및 개발,162,351,233,362
감가상각/무형자산상각,1528,2074,2122,1883
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),147,2126,-,53
기타 영업비용 총계,-,-,-,-
영업 이익,1861,-2519,586,476
영업외이자수익(비용) 순계,-483,-474,-377,-404
자산처분이익(손실),29,87,22,32
기타비용 순계,83,56,-10,116
세전당기순이익,1490,-2850,221,220
소득세충당금,600,-11,461,335
세후당기순이익,890,-2839,-240,-115
소액주주지분,-331,-254,-168,-167
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,559,-3093,-408,-282
특별손익항목 총계,-,-,-,-
순이익,559,-3093,-408,-282
당기순이익에 대한 조정 총계,-,-,-4,-46
특별손익항목 제외 보통주주 분배 가능 이익,559,-3093,-412,-328
희석화에 따른 조정,-,-,-,-
희석 당기순이익,559,-3093,-412,-328
희석된 가중 평균 주식,309.3,304.8,301.2,298.2
특별손익항목 제외 희석주당순이익,1.81,-10.15,-1.37,-1.1
주당배당금 - 발행 보통주,1,1,1,1
희석 정상주당순이익,2.04,-5.8,-1.42,-1.05
