마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,13877,12552,10333,8423
매출,13877,12552,10333,8423
기타 매출 총계,-,-,-,-
총매출원가,8682,8348,6610,5569
총 이익,5195,4204,3723,2854
총 영업비용,13125,12000,9364,6965
판매/일반/관리 비용 총계,3938,3516,2667,1301
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),505,136,87,95
기타 영업비용 총계,-,-,-,-
영업 이익,752,552,969,1458
영업외이자수익(비용) 순계,57,-334,-337,-297
자산처분이익(손실),-,-,-,-
기타비용 순계,-20,48,-219,-57
세전당기순이익,789,266,413,1104
소득세충당금,371,96,100,208
세후당기순이익,418,170,313,896
소액주주지분,-7,-6,-5,-35
관계회사 주식,6,-6,-10,-15
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,417,158,298,846
특별손익항목 총계,-,-,-,-
순이익,417,158,298,846
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,417,158,298,846
희석화에 따른 조정,-,-,-,-
희석 당기순이익,417,158,298,846
희석된 가중 평균 주식,621,627,451,332
특별손익항목 제외 희석주당순이익,0.67,0.25,0.66,2.55
주당배당금 - 발행 보통주,1.52,1.4,1.37,1.25
희석 정상주당순이익,1.86,1.34,1.99,2.78
