마감 기준:,"2021
31/07","2020
31/07","2019
31/07","2018
31/07"
총매출,9633,7679,6784,6025
매출,9633,7679,6784,6025
기타 매출 총계,-,-,-,-
총매출원가,1683,1378,1167,978
총 이익,7950,6301,5617,5047
총 영업비용,7133,5503,4930,4465
판매/일반/관리 비용 총계,3626,2727,2524,2216
연구 및 개발,1678,1392,1233,1186
감가상각/무형자산상각,146,6,6,6
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,79
기타 영업비용 총계,-,-,-,-
영업 이익,2500,2176,1854,1560
영업외이자수익(비용) 순계,-18,25,31,-2
자산처분이익(손실),-,-,-,-
기타비용 순계,74,-3,-4,8
세전당기순이익,2556,2198,1881,1566
소득세충당금,494,372,324,266
세후당기순이익,2062,1826,1557,1300
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2062,1826,1557,1300
특별손익항목 총계,-,-,-,29
순이익,2062,1826,1557,1329
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2062,1826,1557,1300
희석화에 따른 조정,-,0.88,-,-
희석 당기순이익,2062,1826,1557,1329
희석된 가중 평균 주식,273,264,264,261
특별손익항목 제외 희석주당순이익,7.55,6.92,5.9,4.98
주당배당금 - 발행 보통주,2.3,2.06,1.8,1.51
희석 정상주당순이익,7.55,6.92,5.9,5.23
