마감 기준:,"2021
31/10","2020
01/11","2019
03/11","2018
28/10"
총매출,43932,35540,39281,37354.7
매출,43932,35540,39281,37354.7
기타 매출 총계,-,-,-,-
총매출원가,30544,24993,28193,26861.3
총 이익,13388,10547,11088,10493.4
총 영업비용,35429,30386,33783,32254.4
판매/일반/관리 비용 총계,3383,3342,3551,3425.5
연구 및 개발,1587,1589,1783,1657.6
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-8,562,77,56
기타 영업비용 총계,-77,-100,179,254
영업 이익,8503,5154,5498,5100.3
영업외이자수익(비용) 순계,-993,-1247,-1410,-1029.6
자산처분이익(손실),92,-24,-,-
기타비용 순계,-,-,-,-
세전당기순이익,7602,3883,4088,4070.7
소득세충당금,1658,1082,920,1022.9
세후당기순이익,5944,2801,3168,3047.8
소액주주지분,-2,-2,-4,-2.2
관계회사 주식,21,-48,21,26.8
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,5963,2751,3185,3072.4
특별손익항목 총계,-,-,68,-704
순이익,5963,2751,3253,2368.4
당기순이익에 대한 조정 총계,-,-,-,-0.4
특별손익항목 제외 보통주주 분배 가능 이익,5963,2751,3185,3072
희석화에 따른 조정,-,-,1.09,-
희석 당기순이익,5963,2751,3253,2368
희석된 가중 평균 주식,314,316.6,320.6,327.3
특별손익항목 제외 희석주당순이익,18.99,8.69,9.93,9.39
주당배당금 - 발행 보통주,3.32,3.04,2.97,2.49
희석 정상주당순이익,18.74,10.02,10.12,9.51
