마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2080.46,1647.09,1491.59,1327.84
매출,2080.46,1647.09,1491.59,1327.84
기타 매출 총계,-,-,-,-
총매출원가,133.6,104.6,88.58,66.33
총 이익,1946.86,1542.48,1403.01,1261.51
총 영업비용,1751.82,1317.43,1076.4,979.77
판매/일반/관리 비용 총계,96.98,69.75,66.48,84.15
연구 및 개발,-,-,-,-
감가상각/무형자산상각,897.84,677.04,593.96,539.78
영업이자비용(수익) 순계,333.69,308.54,289.6,266.02
특별비용(수익),303.56,160.51,40.19,26.27
기타 영업비용 총계,-13.85,-3.01,-2.41,-2.78
영업 이익,328.64,329.66,415.19,348.07
영업외이자수익(비용) 순계,1.82,4.58,2.25,-
자산처분이익(손실),55.8,76.23,30,24.64
기타비용 순계,6.15,0.73,-3.8,-2.77
세전당기순이익,392.4,411.2,443.64,369.94
소득세충당금,31.66,14.69,6.16,5.34
세후당기순이익,360.75,396.51,437.48,364.6
소액주주지분,-1.29,-1.02,-1,-0.98
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,359.46,395.49,436.48,363.61
특별손익항목 총계,-,-,-,-
순이익,359.46,395.49,436.48,363.61
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,359.46,395.49,436.48,363.61
희석화에 따른 조정,-,-,-,-
희석 당기순이익,359.46,395.49,436.48,363.61
희석된 가중 평균 주식,414.77,345.42,316.16,289.92
특별손익항목 제외 희석주당순이익,0.87,1.14,1.38,1.25
주당배당금 - 발행 보통주,2.83,2.79,2.71,2.63
희석 정상주당순이익,1.42,1.38,1.41,1.26
