마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,10958,6796,15066,14527
매출,10958,6796,15066,14527
기타 매출 총계,-,-,-,-
총매출원가,-,-,-,-
총 이익,-,-,-,-
총 영업비용,8704,7527,9721,9186
판매/일반/관리 비용 총계,8028,5885,9252,8760
연구 및 개발,-,-,-,-
감가상각/무형자산상각,421,458,469,426
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),255,1184,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,2254,-731,5345,5341
영업외이자수익(비용) 순계,-776,1302,613,-506
자산처분이익(손실),-,-,-,-
기타비용 순계,-13,-4,-,-
세전당기순이익,1465,567,5958,4835
소득세충당금,300,516,1110,883
세후당기순이익,1165,51,4848,3952
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1165,51,4848,3952
특별손익항목 총계,-,8,17,46
순이익,1165,59,4865,3998
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1165,51,4848,3952
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1165,59,4865,3998
희석된 가중 평균 주식,41.36,41.16,43.51,48.02
특별손익항목 제외 희석주당순이익,28.17,1.24,111.43,82.3
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,33.07,19.94,111.43,82.3
