마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,13857,10571,20972,20758
매출,13857,10571,20972,20758
기타 매출 총계,-,-,-,-
총매출원가,11056,8802,17755,17084
총 이익,2801,1769,3217,3674
총 영업비용,12271,10487,19172,18392
판매/일반/관리 비용 총계,823,762,938,927
연구 및 개발,-,-,-,-
감가상각/무형자산상각,220,230,341,226
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),172,693,138,155
기타 영업비용 총계,-,-,-,-
영업 이익,1586,84,1800,2366
영업외이자수익(비용) 순계,-406,-550,-201,-21
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,1180,-466,1599,2345
소득세충당금,81,-199,326,479
세후당기순이익,1099,-267,1273,1866
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1099,-267,1273,1866
특별손익항목 총계,-,-,-,41
순이익,1099,-267,1273,1907
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1099,-267,1273,1866
희석화에 따른 조정,-,-,1.9,-
희석 당기순이익,1099,-267,1273,1907
희석된 가중 평균 주식,329.3,325.8,335.5,354.2
특별손익항목 제외 희석주당순이익,3.34,-0.82,3.79,5.27
주당배당금 - 발행 보통주,-,0.48,1.85,1.56
희석 정상주당순이익,3.82,0.56,4.12,5.62
