마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,14455,12574,14109,14768
매출,14455,12574,14109,14768
기타 매출 총계,-,-,-,-
총매출원가,8489,7375,8187,8604
총 이익,5966,5199,5922,6164
총 영업비용,10978,9692,10663,11186
판매/일반/관리 비용 총계,2356,2163,2361,2391
연구 및 개발,-,-,-,-
감가상각/무형자산상각,133,154,159,189
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-44,2
기타 영업비용 총계,-,-,-,-
영업 이익,3477,2882,3446,3582
영업외이자수익(비용) 순계,-170,-186,-187,-214
자산처분이익(손실),-,-,-,-
기타비용 순계,19,8,29,26
세전당기순이익,3326,2704,3288,3394
소득세충당금,632,595,767,831
세후당기순이익,2694,2109,2521,2563
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2694,2109,2521,2563
특별손익항목 총계,-,-,-,-
순이익,2694,2109,2521,2563
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2694,2109,2521,2563
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2694,2109,2521,2563
희석된 가중 평균 주식,316.4,318.3,325.6,337.1
특별손익항목 제외 희석주당순이익,8.51,6.63,7.74,7.6
주당배당금 - 발행 보통주,4.64,4.35,4.07,3.34
희석 정상주당순이익,8.51,6.63,7.64,7.61
