마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2983.28,2391.27,2051.26,1729.85
매출,2983.28,2391.27,2051.26,1729.85
기타 매출 총계,-,-,-,-
총매출원가,836.95,632.31,523.27,410
총 이익,2146.33,1758.96,1527.99,1319.85
총 영업비용,2572.6,1627.05,1401.8,1176.56
판매/일반/관리 비용 총계,983.64,794.64,687.5,600.24
연구 및 개발,241.05,169.81,151.96,132.03
감가상각/무형자산상각,69.96,44.2,36.48,34.29
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),441,-13.9,2.6,-91.8
기타 영업비용 총계,-,-,-,-
영업 이익,410.68,764.22,649.45,553.29
영업외이자수익(비용) 순계,-144.49,-128.52,-137.07,-59.02
자산처분이익(손실),-,-,-,-
기타비용 순계,-10.04,-4.74,-9.53,-6.63
세전당기순이익,256.15,630.95,502.86,487.64
소득세충당금,-19.9,43.27,8.22,17.99
세후당기순이익,276.05,587.68,494.63,469.65
소액주주지분,1.17,-59.28,-112.69,5.35
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,277.21,528.4,381.94,475
특별손익항목 총계,0.51,-366.07,49.19,2.94
순이익,277.72,162.33,431.13,477.94
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,277.21,528.4,381.94,475
희석화에 따른 조정,-,-,-,-
희석 당기순이익,277.72,162.33,431.13,477.94
희석된 가중 평균 주식,304.84,256.02,194.35,296.77
특별손익항목 제외 희석주당순이익,0.91,2.06,1.97,1.6
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,1.85,2.01,1.98,1.6
