마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2114.15,1885.64,1531.3,1327.46
매출,2114.15,1885.64,1531.3,1327.46
기타 매출 총계,-,-,-,-
총매출원가,623.55,530.22,445.49,381.12
총 이익,1490.6,1355.41,1085.8,946.34
총 영업비용,1716.01,1470.41,1158.83,956.62
판매/일반/관리 비용 총계,151.46,133.34,108.82,90.41
연구 및 개발,-,-,-,-
감가상각/무형자산상각,821.06,698.1,544.61,477.66
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),119.93,108.75,59.9,7.43
기타 영업비용 총계,-,-,-,-
영업 이익,398.14,415.22,372.46,370.84
영업외이자수익(비용) 순계,129.57,257.86,31.11,23.25
자산처분이익(손실),126.57,154.09,0.47,8.7
기타비용 순계,-,-,-,-
세전당기순이익,654.28,827.17,404.05,402.79
소득세충당금,-,-,-,-
세후당기순이익,654.28,827.17,404.05,402.79
소액주주지분,-83.03,-56.21,-40.88,-23.48
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,571.25,770.96,363.17,379.31
특별손익항목 총계,-,-,-,-
순이익,571.25,770.96,363.17,379.31
당기순이익에 대한 조정 총계,-7.85,-10.17,-12.17,-15.33
특별손익항목 제외 보통주주 분배 가능 이익,563.4,760.79,351,363.98
희석화에 따른 조정,-,-,-,-
희석 당기순이익,563.4,760.79,351,363.98
희석된 가중 평균 주식,147.46,126.49,112.52,103.32
특별손익항목 제외 희석주당순이익,3.82,6.01,3.12,3.52
주당배당금 - 발행 보통주,4.48,4.24,3.97,3.66
희석 정상주당순이익,3.78,5.17,3.65,3.51
