마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,7574.4,6205.68,4162.82,3047.6
매출,7574.4,6205.68,4162.82,3047.6
기타 매출 총계,-,-,-,-
총매출원가,904.2,736.3,547.76,409.54
총 이익,6670.2,5469.38,3615.06,2638.06
총 영업비용,4792.3,3349.39,2965.26,2412.45
판매/일반/관리 비용 총계,840.1,770.46,658.5,557.62
연구 및 개발,3051.1,1829.54,1754.54,1416.48
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-3.1,-,4.46,28.82
기타 영업비용 총계,-,13.1,-,-
영업 이익,2782.1,2856.29,1197.57,635.15
영업외이자수익(비용) 순계,-39.5,100.25,10.01,-33.5
자산처분이익(손실),-,-,-,-
기타비용 순계,-12.2,160.25,187.34,-1.41
세전당기순이익,2730.4,3116.8,1394.92,600.24
소득세충당금,388.3,405.15,218.11,73.14
세후당기순이익,2342.1,2711.65,1176.81,527.1
소액주주지분,-,-,-,9.79
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2342.1,2711.65,1176.81,536.9
특별손익항목 총계,-,-,-,1560
순이익,2342.1,2711.65,1176.81,2096.9
당기순이익에 대한 조정 총계,-,-,-,-0.5
특별손익항목 제외 보통주주 분배 가능 이익,2342.1,2711.65,1176.81,536.39
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2342.1,2711.65,1176.81,2096.39
희석된 가중 평균 주식,259.9,263.4,260.67,259.19
특별손익항목 제외 희석주당순이익,9.01,10.29,4.51,2.07
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,9,10.29,4.53,2.17
