마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,19687,20712,21458,23443
매출,19687,20712,21458,23443
기타 매출 총계,-,-,-,-
총매출원가,8488,8934,9134,10862
총 이익,11199,11778,12324,12581
총 영업비용,15394,19855,24112,22873
판매/일반/관리 비용 총계,2895,3464,3715,4165
연구 및 개발,-,-,-,-
감가상각/무형자산상각,4019,4710,4829,5120
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-8,2747,6434,2726
기타 영업비용 총계,-,-,-,-
영업 이익,4293,857,-2654,570
영업외이자수익(비용) 순계,-1412,-1638,-2021,-2177
자산처분이익(손실),-,-,-,-
기타비용 순계,-180,-1,-91,44
세전당기순이익,2701,-782,-4766,-1563
소득세충당금,668,450,503,78
세후당기순이익,2033,-1232,-5269,-1641
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2033,-1232,-5269,-1641
특별손익항목 총계,-,-,-,-92
순이익,2033,-1232,-5269,-1733
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2033,-1232,-5269,-1641
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2033,-1232,-5269,-1733
희석된 가중 평균 주식,1066.78,1079.13,1071.44,1065.87
특별손익항목 제외 희석주당순이익,1.91,-1.14,-4.92,-1.54
주당배당금 - 발행 보통주,1,1,1,2.16
희석 정상주당순이익,1.9,0.74,-0.87,0.36
