마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,19820,17224,16652,14950
매출,19820,17224,16652,14950
기타 매출 총계,-,-,-,-
총매출원가,-,-,-,-
총 이익,-,-,-,-
총 영업비용,15508,14158,14007,12189
판매/일반/관리 비용 총계,11425,10129,9734,8605
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),93,251,367,-
기타 영업비용 총계,3990,3778,3906,3584
영업 이익,4312,3066,2645,2761
영업외이자수익(비용) 순계,-381,-530,-471,-732
자산처분이익(손실),-,-,-,-
기타비용 순계,277,257,265,215
세전당기순이익,4208,2793,2439,2244
소득세충당금,1034,747,666,579
세후당기순이익,3174,2046,1773,1665
소액주주지분,-31,-30,-31,-20
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,3143,2016,1742,1645
특별손익항목 총계,-,-,-,5
순이익,3143,2016,1742,1650
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,3143,2016,1742,1645
희석화에 따른 조정,-,-,-,-
희석 당기순이익,3143,2016,1742,1650
희석된 가중 평균 주식,513,512,511,511
특별손익항목 제외 희석주당순이익,6.13,3.94,3.41,3.22
주당배당금 - 발행 보통주,2,1.84,1.74,1.58
희석 정상주당순이익,6.1,4.5,3.93,3.22
