마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,4689.7,4883.6,4868,4309.4
매출,4689.7,4883.6,4868,4309.4
기타 매출 총계,-,-,-,-
총매출원가,-,-,-,-
총 이익,-,-,-,-
총 영업비용,1643.8,2246.2,2280.2,1701.8
판매/일반/관리 비용 총계,1482.1,1558,1525,1126.1
연구 및 개발,-,-,-,-
감가상각/무형자산상각,385.4,464.4,473.3,248.7
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-400.7,-,-,-
기타 영업비용 총계,177,223.8,281.9,327
영업 이익,3045.9,2637.4,2587.8,2607.6
영업외이자수익(비용) 순계,385.8,207.1,636.7,740.2
자산처분이익(손실),30.4,-,-,-
기타비용 순계,-88.5,-122.4,-534.9,-570
세전당기순이익,3373.6,2722.1,2689.6,2777.8
소득세충당금,736.7,615.7,573.8,814.3
세후당기순이익,2636.9,2106.4,2115.8,1963.5
소액주주지분,0.5,-1.2,0.7,-1.5
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2637.4,2105.2,2116.5,1962
특별손익항목 총계,-,-,-,0.2
순이익,2637.4,2105.2,2116.5,1962.2
당기순이익에 대한 조정 총계,-20.3,-,1.4,-3
특별손익항목 제외 보통주주 분배 가능 이익,2617.1,2105.2,2116.5,1962
희석화에 따른 조정,-,-,0.69,-
희석 당기순이익,2617.1,2105.2,2116.5,1962.2
희석된 가중 평균 주식,358.93,358.52,358.24,343.74
특별손익항목 제외 희석주당순이익,7.29,5.87,5.91,5.71
주당배당금 - 발행 보통주,3.6,3.4,3,2.8
희석 정상주당순이익,6.35,5.87,5.91,5.71
