마감 기준:,"2021
31/10","2020
31/10","2019
31/10","2018
31/10"
총매출,6319,5339,5163,4914
매출,6319,5339,5163,4914
기타 매출 총계,-,-,-,-
총매출원가,2912,2502,2350,2230
총 이익,3407,2837,2813,2684
총 영업비용,4972,4493,4231,3995
판매/일반/관리 비용 총계,1619,1484,1456,1389
연구 및 개발,441,495,404,387
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,8,4
특별비용(수익),-,12,13,-15
기타 영업비용 총계,-,-,-,-
영업 이익,1347,846,932,919
영업외이자수익(비용) 순계,-79,-70,-36,-39
자산처분이익(손실),-,-,-,-
기타비용 순계,92,66,23,66
세전당기순이익,1360,842,919,946
소득세충당금,150,123,-152,78
세후당기순이익,1210,719,1071,868
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1210,719,1071,868
특별손익항목 총계,-,-,-,-552
순이익,1210,719,1071,316
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1210,719,1071,868
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1210,719,1071,316
희석된 가중 평균 주식,307,312,318,325
특별손익항목 제외 희석주당순이익,3.94,2.3,3.37,2.67
주당배당금 - 발행 보통주,0.76,0.7,0.64,0.58
희석 정상주당순이익,4.21,2.95,3.61,2.88
