마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3828.01,3795.36,3872.75,3745.81
매출,3828.01,3795.36,3872.75,3745.81
기타 매출 총계,-,-,-,-
총매출원가,2088.5,1939.76,1810.53,1691.3
총 이익,1739.51,1855.6,2062.22,2054.51
총 영업비용,3522.28,3220.28,3079.28,2851.72
판매/일반/관리 비용 총계,129.76,130.16,166,151.98
연구 및 개발,-,-,-,-
감가상각/무형자산상각,978,955.96,912.02,837.64
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),326.02,194.4,190.74,170.8
기타 영업비용 총계,-,-,-,-
영업 이익,305.73,575.08,793.47,894.09
영업외이자수익(비용) 순계,-435.11,-467.7,-454.12,-497.53
자산처분이익(손실),218.79,262.22,26.02,46.25
기타비용 순계,-28.03,-24.95,17.61,-66.77
세전당기순이익,61.39,344.65,382.99,376.04
소득세충당금,4.83,-96.53,-56.31,-16.79
세후당기순이익,56.56,441.19,439.3,392.83
소액주주지분,-7.55,-2.04,-6.28,-6.51
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,49.01,439.15,433.02,386.32
특별손익항목 총계,-,-,-,23.15
순이익,49.01,439.15,433.02,409.47
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,49.01,439.15,433.02,386.32
희석화에 따른 조정,-,-,-,-
희석 당기순이익,49.01,439.15,433.02,409.47
희석된 가중 평균 주식,386.3,376.5,369.89,359.3
특별손익항목 제외 희석주당순이익,0.13,1.17,1.17,1.08
주당배당금 - 발행 보통주,1.8,2.48,3.17,3.16
희석 정상주당순이익,0.41,1.05,1.46,1.3
