마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2329.11,1725.62,818.38,603.69
매출,2329.11,1725.62,818.38,603.69
기타 매출 총계,-,-,-,-
총매출원가,654.51,464.75,271.04,190.78
총 이익,1674.6,1260.88,547.34,412.91
총 영업비용,1863.38,1318.47,729.62,528.91
판매/일반/관리 비용 총계,937.34,656.79,336.7,241.02
연구 및 개발,271.54,180.08,121.88,97.36
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,16.86,-,-0.25
기타 영업비용 총계,-,-,-,-
영업 이익,465.73,407.15,88.76,74.79
영업외이자수익(비용) 순계,5.92,-41.45,-8.12,-19.71
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-58.3,-,-
세전당기순이익,471.65,365.71,80.65,55.08
소득세충당금,-16.7,12.54,-11.05,-26.31
세후당기순이익,488.35,353.17,91.7,81.39
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,488.35,353.17,91.7,81.39
특별손익항목 총계,5.16,-3.92,4.2,-3.9
순이익,493.51,349.25,95.89,77.49
당기순이익에 대한 조정 총계,-,-,-,-0.04
특별손익항목 제외 보통주주 분배 가능 이익,488.35,353.17,91.7,81.35
희석화에 따른 조정,4.9,17.88,-,0.04
희석 당기순이익,498.41,367.13,95.89,77.49
희석된 가중 평균 주식,146.68,136.41,125.72,127.08
특별손익항목 제외 희석주당순이익,3.36,2.72,0.73,0.64
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,3.53,2.85,0.75,0.64
