마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,39211,32218,25542,24358
매출,39211,32218,25542,24358
기타 매출 총계,-,-,-,-
총매출원가,19573,16231,14213,13499
총 이익,19638,15987,11329,10859
총 영업비용,29950,24424,21132,20575
판매/일반/관리 비용 총계,7816,6940,6082,6028
연구 및 개발,1406,1181,1003,967
감가상각/무형자산상각,1761,1667,1713,1741
영업이자비용(수익) 순계,-,-17,1,2
특별비용(수익),1108,89,-167,79
기타 영업비용 총계,47,-,-,-
영업 이익,9261,7794,4410,3783
영업외이자수익(비용) 순계,-427,-569,-408,-528
자산처분이익(손실),-,-,-,-
기타비용 순계,7,-81,68,7
세전당기순이익,8841,7225,4070,3262
소득세충당금,1109,850,366,207
세후당기순이익,7732,6375,3704,3055
소액주주지분,-3,-,-,-
관계회사 주식,-4,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,7725,6375,3704,3055
특별손익항목 총계,-,-,-8,-117
순이익,7725,6375,3696,2938
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,7725,6375,3704,3055
희석화에 따른 조정,-,-,-,-
희석 당기순이익,7725,6375,3696,2938
희석된 가중 평균 주식,397,399,403,406
특별손익항목 제외 희석주당순이익,19.46,15.98,9.19,7.52
주당배당금 - 발행 보통주,1,0.85,0.74,0.66
희석 정상주당순이익,21.92,16.19,8.85,7.73
