마감 기준:,"2021
30/06","2020
30/06","2019
30/06","2018
30/06"
총매출,12861,12467.5,9458.2,9319.1
매출,12861,12467.5,9458.2,9319.1
기타 매출 총계,-,-,-,-
총매출원가,10129,9932,7659.1,7462.3
총 이익,2732,2535.5,1799.1,1856.8
총 영업비용,11540,11473.5,8666.5,8325.2
판매/일반/관리 비용 총계,1291,1384.1,951.3,792.8
연구 및 개발,100,97.3,64,72.7
감가상각/무형자산상각,-,-,-,35.5
영업이자비용(수익) 순계,-,-,-,-21.2
특별비용(수익),95,115.8,178.5,40.6
기타 영업비용 총계,-75,-55.7,-186.4,-43.2
영업 이익,1321,994,791.7,993.9
영업외이자수익(비용) 순계,-139,-184.7,-191.1,-196.9
자산처분이익(손실),-,-,-,-
기타비용 순계,11,15.9,3.5,-74.1
세전당기순이익,1193,825.2,604.1,722.9
소득세충당금,261,186.9,171.5,118.8
세후당기순이익,932,638.3,432.6,604.1
소액주주지분,-12,-4.4,-7.2,-11.4
관계회사 주식,19,-14,4.1,-17.5
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,939,619.9,429.5,575.2
특별손익항목 총계,-,-7.7,0.7,-
순이익,939,612.2,430.2,575.2
당기순이익에 대한 조정 총계,-2,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,937,619.9,429.5,575.2
희석화에 따른 조정,-,-,-,-
희석 당기순이익,937,612.2,430.2,575.2
희석된 가중 평균 주식,1556,1601.6,1183.8,1161.7
특별손익항목 제외 희석주당순이익,0.6,0.39,0.36,0.5
주당배당금 - 발행 보통주,0.47,0.47,0.58,0.44
희석 정상주당순이익,0.65,0.44,0.47,0.52
