마감 기준:,"2021
30/09","2020
30/09","2019
30/09","2018
30/09"
총매출,213988.84,189893.93,179589.12,167939.64
매출,213988.84,189893.93,179589.12,167939.64
기타 매출 총계,-,-,-,-
총매출원가,207214.41,184711.12,174596.68,163291.38
총 이익,6774.43,5182.81,4992.44,4648.26
총 영업비용,211634.65,195051.45,178477.2,166519.72
판매/일반/관리 비용 총계,3594.25,2767.22,2663.51,2460.3
연구 및 개발,-,-,-,-
감가상각/무형자산상각,505.17,391.06,462.41,465.13
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),320.81,7182.06,754.6,302.91
기타 영업비용 총계,-,-,-,-
영업 이익,2354.2,-5157.53,1111.92,1419.92
영업외이자수익(비용) 순계,-174.07,-137.88,-144.07,-217.03
자산처분이익(손실),-,-,-,-
기타비용 순계,41.74,1.58,-0.75,-25.47
세전당기순이익,2221.86,-5293.83,967.11,1177.42
소득세충당금,677.25,-1894.27,149.97,174.13
세후당기순이익,1544.61,-3399.56,817.13,1003.29
소액주주지분,-4.68,-9.16,1.23,42.51
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1539.93,-3408.72,818.37,1045.81
특별손익항목 총계,-,-,37,612.6
순이익,1539.93,-3408.72,855.37,1658.4
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1539.93,-3408.72,818.37,1045.81
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1539.93,-3408.72,855.37,1658.4
희석된 가중 평균 주식,208.47,204.78,211.84,220.34
특별손익항목 제외 희석주당순이익,7.39,-16.65,3.86,4.75
주당배당금 - 발행 보통주,1.76,1.66,1.6,1.52
희석 정상주당순이익,8.46,6.15,6.87,5.92
