마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,8803,8086,6489,7500
매출,8803,8086,6489,7500
기타 매출 총계,-,-,-,-
총매출원가,2317,2260,2094,2517
총 이익,6486,5826,4395,4983
총 영업비용,5544,5383,4882,5552
판매/일반/관리 비용 총계,1813,1848,1658,1884
연구 및 개발,1337,1150,998,1101
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),77,125,132,50
기타 영업비용 총계,-,-,-,-
영업 이익,3259,2703,1607,1948
영업외이자수익(비용) 순계,-75,-75,-15,-81
자산처분이익(손실),-,-,-,-
기타비용 순계,-20,-12,41,10
세전당기순이익,3164,2616,1633,1877
소득세충당금,465,419,130,369
세후당기순이익,2699,2197,1503,1508
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2699,2197,1503,1508
특별손익항목 총계,-,-,-,340
순이익,2699,2197,1503,1848
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2699,2197,1503,1508
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2699,2197,1503,1848
희석된 가중 평균 주식,784,778,771,771
특별손익항목 제외 희석주당순이익,3.44,2.82,1.95,1.96
주당배당금 - 발행 보통주,0.47,0.41,0.37,0.34
희석 정상주당순이익,3.53,2.96,2.1,2.02
