마감 기준:,"2022
02/01","2021
03/01","2019
29/12","2018
30/12"
총매출,4614.3,3086.2,3163.6,2901.8
매출,4614.3,3086.2,3163.6,2901.8
기타 매출 총계,-,-,-,-
총매출원가,2770.5,1905.3,1920.3,1791
총 이익,1843.8,1180.9,1243.3,1110.8
총 영업비용,4020.6,2606.1,2671.9,2485.2
판매/일반/관리 비용 총계,744.5,700.8,751.6,694.2
연구 및 개발,299.3,-,-,-
감가상각/무형자산상각,149.3,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),57,-,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,593.7,480.1,491.7,416.6
영업외이자수익(비용) 순계,-73.6,-15.3,-21,-26
자산처분이익(손실),-,-,-,-
기타비용 순계,13.7,4.9,3,3.3
세전당기순이익,533.8,469.7,473.7,393.9
소득세충당금,88.5,67.8,71.4,60.9
세후당기순이익,445.3,401.9,402.3,333
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,445.3,401.9,402.3,333
특별손익항목 총계,-,-,-,0.8
순이익,445.3,401.9,402.3,333.8
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,445.3,401.9,402.3,333
희석화에 따른 조정,-,-,-,-
희석 당기순이익,445.3,401.9,402.3,333.8
희석된 가중 평균 주식,44.3,37.9,37.5,37
특별손익항목 제외 희석주당순이익,10.05,10.6,10.73,9
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,12.58,11.07,10.73,9.18
